Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Lancaster County, Nebraska",309637,*****,267852,1956,12445,1917,1952,506,12252,2771,3,8,4680,1411,10453,3162,905,625,9548,3092
"Sarpy County, Nebraska",179023,*****,158913,1283,6658,983,595,298,4776,539,168,170,2121,1168,5792,1055,94,127,5698,1045
"Clark County, Nevada",2155664,*****,1330054,14195,247427,5158,13583,3294,211925,4744,17783,1756,223704,13220,111188,8826,18867,3427,92321,7763
"Washoe County, Nevada",453616,*****,355315,6275,10627,1319,6826,871,25562,1969,2436,420,32942,5644,19908,4234,2801,2651,17107,3377
"Cheshire County, New Hampshire",75774,*****,72373,347,520,279,148,124,1122,322,0,187,197,199,1414,510,271,160,1143,458
"Grafton County, New Hampshire",88888,*****,82304,367,977,193,143,145,3505,636,34,61,293,306,1632,718,44,57,1588,724
"Hillsborough County, New Hampshire",407761,*****,367574,2534,9702,1281,467,294,14874,1366,32,60,5283,2007,9829,1907,775,477,9054,1843
"Merrimack County, New Hampshire",148582,*****,140747,374,836,502,354,508,2563,649,0,187,209,317,3873,1031,197,218,3676,982
"Rockingham County, New Hampshire",303251,*****,288104,1010,2089,588,57,96,5846,746,0,187,1712,874,5443,1146,522,516,4921,1018
"Strafford County, New Hampshire",127428,*****,118919,369,1196,485,50,101,4107,593,0,187,175,167,2981,819,578,641,2403,615
"Atlantic County, New Jersey",270991,*****,176909,3878,41557,1895,824,207,22599,887,60,76,20986,4276,8056,2438,3178,1630,4878,1745
"Bergen County, New Jersey",939151,*****,678573,4856,56391,3800,1748,721,153276,2629,804,763,20616,3635,27743,4027,4733,1597,23010,3942
"Burlington County, New Jersey",449284,*****,323113,2352,74530,2470,378,299,23697,888,123,143,10123,2752,17320,2594,2367,1058,14953,2250
"Camden County, New Jersey",510150,*****,324529,4212,96342,2921,1032,748,29696,858,0,200,44228,4788,14323,3024,1950,873,12373,2847
"Cape May County, New Jersey",94430,*****,86834,494,3321,1410,63,110,806,408,127,184,648,414,2631,1494,38,79,2593,1491
"Cumberland County, New Jersey",153797,*****,103640,2980,28739,2025,1960,943,2258,478,0,200,10350,2274,6850,2031,1876,1215,4974,1637
"Essex County, New Jersey",796914,*****,355482,6525,317198,4084,1518,894,42298,1386,0,200,58747,6295,21671,4633,4090,1146,17581,4401
"Gloucester County, New Jersey",292330,*****,237650,1647,29805,1597,215,317,8955,750,0,200,6186,2187,9519,2362,3066,1371,6453,1826
"Hudson County, New Jersey",677983,*****,367911,10452,81508,2916,2484,819,102554,2364,752,602,96113,10148,26661,3796,11030,3208,15631,2725
"Hunterdon County, New Jersey",124676,*****,113236,1116,3498,331,19,39,4757,752,73,128,1238,1126,1855,820,791,682,1064,596
"Mercer County, New Jersey",371023,*****,238907,2679,78453,2932,493,453,40864,982,597,767,4213,1548,7496,1970,933,751,6563,1783
"Middlesex County, New Jersey",837073,*****,490322,6372,83900,2351,2096,1108,203045,2171,297,324,35789,6886,21624,3557,7529,2098,14095,2900
"Monmouth County, New Jersey",625846,*****,514689,4671,45430,2328,966,523,35774,921,30,42,18484,4732,10473,1869,1843,979,8630,1700
"Morris County, New Jersey",498423,*****,402032,4272,15796,1516,139,185,53056,1210,0,200,17716,4480,9684,2003,1638,777,8046,1824
"Ocean County, New Jersey",592497,*****,536665,4961,17336,1889,400,348,11908,851,664,877,17161,4929,8363,2035,1162,1028,7201,1796
"Passaic County, New Jersey",507945,*****,333685,6803,57390,2710,1643,804,26481,1241,180,296,74754,7140,13812,2993,3444,1310,10368,2559
"Salem County, New Jersey",63436,*****,50303,1165,8147,1065,162,148,774,200,0,200,1966,1094,2084,1187,246,269,1838,1048
"Somerset County, New Jersey",333751,*****,224326,3004,32448,906,1718,1025,57437,1570,47,78,10493,3024,7282,1854,1659,952,5623,1622
"Sussex County, New Jersey",142522,*****,132461,1372,2904,366,0,200,3229,520,0,200,1717,1312,2211,677,96,180,2115,678
"Union County, New Jersey",555630,*****,304604,7695,114911,3393,2210,1716,27892,1462,0,200,89983,8855,16030,2743,5446,1943,10584,2093
"Warren County, New Jersey",106617,*****,95037,1275,4981,370,117,115,2825,449,0,200,2019,1212,1638,695,161,166,1477,639
"Bernalillo County, New Mexico",676953,*****,479588,9412,18679,1603,34521,3022,18595,1342,498,548,101451,8945,23621,3706,9664,2481,13957,2836
"Chaves County, New Mexico",65282,*****,59253,1591,1717,154,1481,658,67,102,22,45,2013,1256,729,642,650,622,79,167
"Do–a Ana County, New Mexico",214207,*****,194538,3403,3599,341,2578,835,2341,294,69,130,8652,3443,2430,871,628,385,1802,767
"Lea County, New Mexico",69749,*****,62201,1463,2172,835,452,242,0,195,46,84,3134,1438,1744,813,265,244,1479,836
"McKinley County, New Mexico",74923,*****,10318,1640,161,137,58562,1019,766,195,219,262,3963,1947,934,596,364,428,570,425
"Otero County, New Mexico",65410,*****,50841,2292,2625,503,4423,467,969,239,0,195,3628,2052,2924,1603,452,449,2472,1561
"Sandoval County, New Mexico",142025,*****,99399,2713,2980,467,18026,863,2100,1167,25,41,11878,2707,7617,1856,2504,1258,5113,1324
"San Juan County, New Mexico",115079,*****,62316,1870,656,466,41426,1442,690,222,74,127,6795,1368,3122,1167,413,388,2709,1139
"Santa Fe County, New Mexico",148651,*****,126078,2545,1260,179,5173,1007,1976,462,38,50,9950,2047,4176,1291,2010,993,2166,871
"Valencia County, New Mexico",75626,*****,60577,2996,788,240,2782,628,340,264,0,195,8365,2702,2774,1036,1413,775,1361,723
"Albany County, New York",308846,*****,230831,2262,38386,2112,788,467,21011,917,0,192,5538,1504,12292,2414,1706,991,10586,2291
"Bronx County, New York",1455720,*****,312877,12856,495031,8546,8777,2234,51958,2912,372,436,528863,14923,57842,6806,23737,4683,34105,5554
"Broome County, New York",195334,*****,166572,1038,12650,1572,13,27,7006,1214,21,38,1866,914,7206,1595,810,740,6396,1585
"Cattaraugus County, New York",77677,*****,71286,276,1148,321,2615,308,509,252,0,192,376,224,1743,491,621,361,1122,379
"Cayuga County, New York",77861,*****,71746,472,3240,544,139,115,400,408,0,192,554,367,1782,649,171,255,1611,571
"Chautauqua County, New York",129504,*****,120008,1187,3784,474,326,140,760,336,64,97,2035,1017,2527,869,493,664,2034,610
"Chemung County, New York",86322,*****,75851,561,4798,870,171,223,1588,76,22,47,770,478,3122,970,110,160,3012,970
"Clinton County, New York",81073,*****,73092,675,3875,305,114,139,990,346,0,192,1811,728,1191,534,117,168,1074,475
"Dutchess County, New York",294473,*****,232515,3106,31588,2108,989,440,10743,767,422,493,9189,2960,9027,2426,1490,717,7537,2373
"Erie County, New York",921046,*****,718970,3294,122691,2436,4730,1272,34132,1166,405,162,18740,3307,21378,3354,3686,1667,17692,2714
"Jefferson County, New York",114006,*****,98583,1004,5871,1264,1667,1090,1998,456,41,57,1425,603,4421,1155,629,575,3792,1023
"Kings County, New York",2629150,*****,1124155,10525,861749,7591,8714,2639,315850,4323,1402,596,237591,11781,79689,6475,13817,2845,65872,5955
"Livingston County, New York",64257,*****,59522,542,1985,498,352,267,699,309,76,141,800,531,823,392,9,18,814,394
"Madison County, New York",71329,*****,67495,483,1272,475,203,123,726,255,152,251,200,172,1281,613,409,463,872,344
"Monroe County, New York",747727,*****,570709,2932,113806,2723,2763,877,26420,1797,309,323,12100,2510,21620,3250,3305,1578,18315,3273
"Nassau County, New York",1361500,*****,926594,9490,158561,3628,3420,1385,127934,2176,285,214,102363,8812,42343,6245,11992,2910,30351,4920
"New York County, New York",1643734,*****,931953,10526,246095,6743,4555,1574,204434,3603,1205,876,179384,11666,76108,9660,21190,6206,54918,7299
"Niagara County, New York",211758,*****,185171,1241,13450,1266,2246,418,2082,413,141,183,1822,1006,6846,1571,533,446,6313,1517
"Oneida County, New York",231190,*****,197816,1290,13313,1634,400,364,9824,545,53,93,2474,1034,7310,1636,519,400,6791,1651
"Onondaga County, New York",466194,*****,370920,1646,52781,1782,1769,655,17413,1087,81,97,6250,1690,16980,2450,587,295,16393,2427
"Ontario County, New York",109828,*****,101231,693,3180,801,584,670,1345,356,114,172,1649,776,1725,693,330,301,1395,636
"Orange County, New York",379210,*****,278706,4467,38853,2721,1877,610,10686,962,149,247,32984,4846,15955,3438,3331,1332,12624,2969
"Oswego County, New York",118987,*****,113860,511,1795,553,184,133,730,215,75,121,167,155,2176,459,20,33,2156,457
"Putnam County, New York",98900,*****,85102,1797,1490,643,859,626,2214,423,56,86,7046,1878,2133,829,357,300,1776,771
"Queens County, New York",2333054,*****,905860,12959,421307,6524,9509,2054,592922,6301,1240,696,318657,15669,83559,7695,29285,4754,54274,6079
"Rensselaer County, New York",160070,*****,137956,1186,9755,1225,799,932,4019,750,0,192,1866,1064,5675,1212,265,235,5410,1192
"Richmond County, New York",476015,*****,352530,5099,48920,2200,251,250,40747,1571,721,927,22464,5141,10382,2271,2183,872,8199,2208
"Rockland County, New York",326780,*****,225848,4175,40350,1940,592,372,19686,1117,49,87,33989,5006,6266,1613,1087,668,5179,1545
"St. Lawrence County, New York",110038,*****,102840,543,2925,352,437,289,1489,264,11,17,472,214,1864,625,288,243,1576,599
"Saratoga County, New York",227053,*****,211505,886,2719,1370,484,351,6797,434,91,163,907,681,4550,1486,54,80,4496,1447
"Schenectady County, New York",154553,*****,119476,2091,14509,2171,258,305,6739,580,219,335,7110,2756,6242,1794,1149,880,5093,1662
"Steuben County, New York",96940,*****,91500,352,1835,448,120,134,1298,369,0,192,524,381,1663,476,288,284,1375,442
"Suffolk County, New York",1492583,*****,1195796,11756,111177,2689,3361,1177,58726,2528,833,555,93130,11861,29560,3824,8108,2110,21452,3380
"Sullivan County, New York",74801,*****,60496,2035,5662,967,52,73,1227,391,0,192,4373,2116,2991,1337,502,626,2489,1071
"Tompkins County, New York",104871,*****,83423,799,4698,454,268,214,10625,898,0,192,1656,639,4201,1123,223,284,3978,1046
"Ulster County, New York",179225,*****,152042,1754,10859,1929,151,119,3969,546,21,43,5275,1537,6908,1968,701,613,6207,1921
"Warren County, New York",64567,*****,62127,188,690,246,85,133,603,208,82,132,146,185,834,318,0,192,834,318
"Wayne County, New York",90798,*****,84497,921,2458,388,59,77,775,232,0,192,1092,943,1917,495,48,92,1869,495
"Westchester County, New York",974542,*****,628687,8448,144510,3610,2745,832,57962,2210,192,142,107885,8254,32561,5274,12405,3712,20156,3585
"Alamance County, North Carolina",159688,*****,110933,2190,31088,1129,779,494,2245,322,307,350,11140,2340,3196,1074,478,459,2718,978
"Brunswick County, North Carolina",126953,*****,105877,1372,13110,1576,1056,530,708,404,0,203,2814,1716,3388,2190,365,404,3023,2134
"Buncombe County, North Carolina",256088,*****,226953,1860,15445,1517,959,448,3542,811,425,486,3181,1985,5583,1591,288,247,5295,1603
"Burke County, North Carolina",88851,*****,74837,1143,5443,671,537,163,3447,10,127,238,3437,1231,1023,698,0,203,1023,698
"Cabarrus County, North Carolina",201590,*****,141332,2117,34402,1504,511,537,6212,902,374,445,12541,2424,6218,2305,1200,1138,5018,1609
"Caldwell County, North Carolina",81449,*****,72101,580,3611,1109,550,377,302,511,0,203,3569,687,1316,1063,218,367,1098,914
"Carteret County, North Carolina",68890,*****,61844,408,3798,411,285,245,546,309,0,203,320,309,2097,574,53,70,2044,561
"Catawba County, North Carolina",156459,*****,122004,1401,13875,1122,600,246,6466,333,0,203,10980,1400,2534,1147,84,141,2450,1140
"Chatham County, North Carolina",72243,*****,59488,1005,8033,853,0,203,868,620,0,203,1187,956,2667,1042,122,214,2545,1053
"Cleveland County, North Carolina",97144,*****,71847,490,20734,409,157,250,1134,129,0,203,2499,713,773,460,115,146,658,392
"Craven County, North Carolina",103445,*****,71552,1382,20612,2292,812,324,3215,378,50,80,3030,1630,4174,2364,0,203,4174,2364
"Cumberland County, North Carolina",327127,*****,162910,2553,124566,2613,5012,1208,7649,1120,737,344,7461,2141,18792,2793,1746,911,17046,2672
"Davidson County, North Carolina",164926,*****,139762,2179,13621,1603,133,151,2630,113,0,203,4359,2215,4421,1585,0,203,4421,1585
"Durham County, North Carolina",306212,*****,158099,3041,113137,2104,669,340,15714,1107,267,315,10281,2916,8045,2030,591,530,7454,1962
"Forsyth County, North Carolina",371511,*****,245900,2789,97584,1978,1513,660,8532,749,21,40,8879,2294,9082,2376,1324,734,7758,2261
"Gaston County, North Carolina",216965,*****,167912,1751,34358,1782,1004,352,3627,327,0,203,5169,1750,4895,1828,680,388,4215,1808
"Guilford County, North Carolina",521330,*****,290962,3045,175229,3145,1975,580,26138,582,383,424,14980,3358,11663,2748,963,961,10700,2807
"Harnett County, North Carolina",130881,*****,86920,1519,27503,1269,878,561,916,337,202,307,8723,1761,5739,1363,830,511,4909,1335
"Henderson County, North Carolina",114209,*****,106200,727,5236,833,6,14,1607,203,0,203,335,283,825,474,0,203,825,474
"Iredell County, North Carolina",172916,*****,142713,1160,21633,751,194,228,4410,393,0,203,1728,953,2238,927,371,368,1867,816
"Johnston County, North Carolina",191450,*****,149935,2731,31782,2318,729,618,536,480,0,203,3042,1810,5426,1642,543,605,4883,1582
"Lincoln County, North Carolina",81168,*****,70976,1321,3566,1254,1149,1048,638,104,106,180,3239,1418,1494,859,517,576,977,702
"Mecklenburg County, North Carolina",1054835,*****,574931,6887,334621,4162,2740,970,59544,1554,786,301,55771,6855,26442,3343,2388,1037,24054,3256
"Moore County, North Carolina",95776,*****,78987,1098,13027,550,108,138,1649,107,80,141,510,491,1415,1389,171,257,1244,1159
"Nash County, North Carolina",94005,*****,50212,1251,37748,778,434,313,845,217,0,203,3161,1191,1605,1051,193,282,1412,1019
"New Hanover County, North Carolina",223483,*****,180970,1728,31080,1780,625,477,2161,768,0,203,2255,1111,6392,1795,205,230,6187,1804
"Onslow County, North Carolina",187136,*****,139353,2304,24311,2427,591,318,3350,709,413,275,3224,1615,15894,3118,2144,1949,13750,2530
"Orange County, North Carolina",141796,*****,106590,1378,14958,1620,677,239,11270,826,0,203,1976,1005,6325,1950,881,717,5444,1802
"Pitt County, North Carolina",177220,*****,102197,1972,62515,2171,640,204,2983,791,64,101,4316,2236,4505,1740,268,291,4237,1714
"Randolph County, North Carolina",143416,*****,119977,2453,9771,1132,262,221,1463,514,0,203,9133,2630,2810,918,443,434,2367,796
"Robeson County, North Carolina",133235,*****,38442,1351,32385,576,52789,1091,958,68,197,303,6244,1352,2220,960,209,243,2011,965
"Rockingham County, North Carolina",91393,*****,70668,825,15921,1339,717,694,618,42,51,89,1117,868,2301,1257,33,59,2268,1258
"Rowan County, North Carolina",139933,*****,107453,1778,22460,1049,659,251,1104,441,0,203,5519,1761,2738,987,212,260,2526,932
"Rutherford County, North Carolina",66421,*****,58022,357,5822,990,627,486,744,755,29,61,229,353,948,795,0,203,948,795
"Surry County, North Carolina",72113,*****,65066,1124,2708,417,153,177,406,114,173,311,2561,1172,1046,679,0,203,1046,679
"Union County, North Carolina",226606,*****,187188,1233,25691,1208,528,387,5792,733,0,203,2272,1219,5135,1430,181,186,4954,1466
"Wake County, North Carolina",1046791,*****,688226,6466,213306,4132,3815,1183,69541,2393,157,184,40616,7236,31130,4297,3082,1249,28048,4232
"Wayne County, North Carolina",124150,*****,79743,1040,37003,1491,324,234,1539,477,65,124,1082,999,4394,1581,44,68,4350,1585
"Wilkes County, North Carolina",68740,*****,62089,1261,1994,1040,10,20,1232,1192,104,192,1906,1262,1405,651,41,82,1364,630
"Wilson County, North Carolina",81661,*****,41449,1428,32474,885,574,743,208,475,0,203,4874,1521,2082,949,57,121,2025,939
"Burleigh County, North Dakota",94487,*****,85935,489,2066,450,4142,936,714,791,140,233,108,152,1382,871,140,211,1242,831
"Cass County, North Dakota",175249,*****,153678,1008,9281,1155,1478,642,4496,1045,0,155,908,909,5408,1893,357,443,5051,1723
"Grand Forks County, North Dakota",71083,*****,62439,311,2825,555,1780,721,1802,295,0,155,80,102,2157,1010,106,234,2051,978
"Ward County, North Dakota",70210,*****,60834,1249,1578,967,3000,1167,865,355,0,155,1717,1387,2216,1064,0,155,2216,1064
"Allen County, Ohio",103742,*****,85612,926,12198,1238,245,278,917,316,0,189,1244,995,3526,1212,287,309,3239,1168
"Ashtabula County, Ohio",98231,*****,90797,732,3902,977,269,275,492,501,42,81,222,170,2507,904,0,189,2507,904
"Athens County, Ohio",66186,*****,59847,361,2143,242,0,189,1250,656,0,189,407,377,2539,690,112,191,2427,685
"Butler County, Ohio",377537,*****,322458,1908,30413,2209,536,455,10086,1284,98,122,3219,1809,10727,2921,764,754,9963,2715
"Clark County, Ohio",134786,*****,117082,735,9921,946,289,275,393,272,53,87,808,699,6240,1027,97,155,6143,1020
"Clermont County, Ohio",203022,*****,193577,410,3373,752,0,189,2833,418,187,216,391,348,2661,800,35,62,2626,802
"Columbiana County, Ohio",103685,*****,97992,406,2766,609,201,197,0,189,0,189,1185,431,1541,519,194,175,1347,542
"Cuyahoga County, Ohio",1249352,*****,780502,3251,367135,4092,2275,608,35357,1554,389,148,21144,3094,42550,5237,4011,1539,38539,4865
"Delaware County, Ohio",196463,*****,173006,477,6944,935,253,220,11311,1233,53,89,738,492,4158,1520,250,405,3908,1404
"Erie County, Ohio",75107,*****,64185,789,6933,1347,61,113,620,94,0,189,779,482,2529,1166,153,239,2376,1114
"Fairfield County, Ohio",152597,*****,133473,671,11068,1097,407,372,1560,723,0,189,1309,1052,4780,1565,201,229,4579,1498
"Franklin County, Ohio",1264518,*****,855234,5012,280522,4600,2170,1060,62789,1879,747,393,15363,4100,47693,6263,2146,1103,45547,6197
"Greene County, Ohio",164765,*****,141014,1072,11672,1010,235,372,4902,736,0,189,1707,941,5235,1511,131,134,5104,1518
"Hamilton County, Ohio",809099,*****,542878,2841,208972,4114,800,442,21398,978,85,103,11962,3144,23004,4029,648,434,22356,3897
"Hancock County, Ohio",75872,*****,70208,846,821,278,7,19,1412,306,0,189,1358,662,2066,650,399,519,1667,407
"Lake County, Ohio",228614,*****,208258,1485,9011,818,388,281,3153,498,26,55,2414,1230,5364,1654,545,403,4819,1646
"Licking County, Ohio",172198,*****,158253,957,6542,1053,125,142,2087,339,0,189,926,973,4265,1209,0,189,4265,1209
"Lorain County, Ohio",306365,*****,260616,2252,26803,1809,578,306,2735,1268,174,278,4160,1494,11299,2456,2356,1596,8943,1936
"Lucas County, Ohio",432488,*****,313144,2184,82833,2036,816,445,6710,922,233,280,10626,1969,18126,2774,3508,1516,14618,2246
"Mahoning County, Ohio",230008,*****,183773,1479,35050,1457,402,225,2048,493,0,189,1527,724,7208,2120,446,346,6762,2087
"Medina County, Ohio",177221,*****,168281,809,2542,654,524,533,1651,390,0,189,996,660,3227,656,92,159,3135,664
"Miami County, Ohio",104679,*****,98031,582,2410,705,126,142,1294,407,0,189,720,624,2098,792,89,142,2009,791
"Montgomery County, Ohio",531239,*****,388711,1367,110639,2520,640,466,11335,871,374,294,3071,1266,16469,2448,332,247,16137,2416
"Portage County, Ohio",161921,*****,147855,436,6943,775,174,256,2837,592,0,189,511,436,3601,1033,39,70,3562,1017
"Richland County, Ohio",121107,*****,104750,650,12153,802,253,144,821,329,85,159,630,389,2415,799,247,320,2168,753
"Stark County, Ohio",373612,*****,327583,1450,27377,1811,218,258,3682,480,0,189,2474,1311,12278,2288,869,561,11409,2141
"Summit County, Ohio",540300,*****,427390,1202,77916,2456,503,333,17116,1156,149,154,1385,931,15841,2611,552,448,15289,2590
"Trumbull County, Ohio",201825,*****,178222,783,17537,1616,364,320,860,340,0,189,291,201,4551,1628,154,163,4397,1587
"Warren County, Ohio",227063,*****,200973,1219,8661,929,0,189,12734,784,0,189,1886,1165,2809,1127,12,25,2797,1126
"Wayne County, Ohio",116470,*****,109609,402,1923,497,33,65,1265,310,0,189,1789,388,1851,618,50,84,1801,611
"Wood County, Ohio",130219,*****,119109,919,3912,437,510,270,1938,466,234,334,1858,893,2658,897,472,349,2186,817
"Canadian County, Oklahoma",136532,*****,110859,1600,3031,904,5720,1215,4298,502,0,159,5825,2130,6799,1536,609,568,6190,1411
"Cleveland County, Oklahoma",278655,*****,218891,1894,12353,1279,11785,1469,12864,1163,142,174,3154,1227,19466,2302,981,443,18485,2276
"Comanche County, Oklahoma",122136,*****,76393,1798,22659,1332,6613,1354,2645,739,225,227,2850,1317,10751,1865,709,493,10042,1692
"Creek County, Oklahoma",71312,*****,56935,358,1349,239,8304,819,249,199,55,94,282,276,4138,906,0,159,4138,906
"Muskogee County, Oklahoma",69477,*****,40817,696,7297,618,12438,1195,513,62,103,166,1728,747,6581,1510,110,120,6471,1525
"Oklahoma County, Oklahoma",782970,*****,539756,5273,118634,3398,24989,2979,24246,2082,1011,477,24272,4810,50062,4449,2661,1106,47401,4415
"Payne County, Oklahoma",81131,*****,65460,585,3536,302,4184,973,3866,436,0,159,295,313,3790,1069,134,161,3656,1049
"Pottawatomie County, Oklahoma",72290,*****,54566,383,2607,141,10306,767,578,175,60,101,368,202,3805,856,522,376,3283,814
"Rogers County, Oklahoma",91766,*****,68761,520,871,162,10913,1188,1044,349,0,159,1171,497,9006,1159,111,129,8895,1173
"Tulsa County, Oklahoma",642940,*****,445786,2969,63930,2131,32602,2312,21241,782,279,162,26455,3129,52647,3393,2707,802,49940,3382
"Wagoner County, Oklahoma",77679,*****,58594,700,2716,253,6890,1024,951,369,90,98,908,524,7530,1268,551,477,6979,1112
"Benton County, Oregon",89385,*****,77080,970,984,495,459,400,5884,551,262,144,1185,714,3531,937,0,201,3531,937
"Clackamas County, Oregon",408062,*****,357854,3501,4548,1460,3639,1607,16159,2150,626,428,8713,2971,16523,2824,509,466,16014,2742
"Deschutes County, Oregon",181307,*****,167962,2023,1089,492,806,483,1730,537,87,139,3582,1751,6051,1043,639,677,5412,949
"Douglas County, Oregon",108457,*****,100124,801,642,168,1033,704,1026,556,102,186,618,493,4912,742,179,207,4733,726
"Jackson County, Oregon",216527,*****,192932,3247,1390,775,2298,1037,2803,720,635,294,8039,3449,8430,2061,547,522,7883,1976
"Josephine County, Oregon",85904,*****,80113,946,1441,1034,1593,1107,657,590,22,51,249,337,1829,998,412,539,1417,841
"Klamath County, Oregon",66443,*****,57742,1375,134,159,3131,781,702,311,216,237,1793,1280,2725,1001,0,201,2725,1001
"Lane County, Oregon",369519,*****,324944,2572,3663,891,4162,1132,9597,1519,928,271,6858,2225,19367,2315,917,630,18450,2214
"Linn County, Oregon",122849,*****,110734,2098,595,400,1248,569,1299,598,74,49,4511,2127,4388,881,128,129,4260,876
"Marion County, Oregon",336316,*****,265422,5112,4806,857,2378,869,6959,1012,2402,1163,23368,4366,30981,5570,1733,896,29248,5759
"Multnomah County, Oregon",799766,*****,630308,4302,45410,2475,5658,1353,56252,2438,4647,1431,16182,3336,41309,4313,1837,775,39472,4134
"Polk County, Oregon",81823,*****,73654,1170,358,188,1905,698,1362,576,369,324,1402,980,2773,1037,404,503,2369,922
"Umatilla County, Oregon",76456,*****,67399,1653,573,353,1861,584,266,356,141,167,1998,1400,4218,1096,395,392,3823,905
"Washington County, Oregon",582779,*****,439014,5814,10846,2257,2252,917,58739,2420,2262,1181,33702,6150,35964,4772,6662,2879,29302,4300
"Yamhill County, Oregon",105035,*****,91961,1979,611,326,1755,1094,1804,628,367,266,3317,1759,5220,1289,457,665,4763,1074
"Adams County, Pennsylvania",102180,*****,94434,1017,1057,544,65,72,426,225,0,174,3626,1033,2572,542,212,164,2360,531
"Allegheny County, Pennsylvania",1225365,*****,982979,2051,154858,4214,975,390,43283,1734,443,463,4933,1528,37894,4820,2346,1524,35548,4591
"Beaver County, Pennsylvania",167429,*****,151718,741,9238,1430,91,151,551,516,194,293,779,748,4858,1392,136,190,4722,1400
"Berks County, Pennsylvania",414812,*****,343554,5162,18603,1950,4478,2601,5504,785,0,174,14887,2992,27786,4630,2254,1156,25532,4440
"Blair County, Pennsylvania",124650,*****,119127,544,2498,559,17,30,844,184,262,330,354,510,1548,524,113,187,1435,529
"Bucks County, Pennsylvania",626399,*****,551410,3230,22210,2241,912,509,30721,1293,0,174,7193,2794,13953,2971,2115,1526,11838,2413
"Butler County, Pennsylvania",186847,*****,179023,755,2329,342,177,167,2478,523,0,174,727,662,2113,768,31,41,2082,768
"Cambria County, Pennsylvania",134732,*****,126107,482,3266,1104,13,19,515,229,175,195,527,313,4129,1116,460,313,3669,1087
"Centre County, Pennsylvania",161464,*****,142112,412,5949,433,115,137,8766,1354,80,110,437,302,4005,1439,1190,1218,2815,912
"Chester County, Pennsylvania",516312,*****,440376,1891,29721,1879,506,391,25578,1432,254,268,6783,1778,13094,2770,2573,1188,10521,2356
"Clearfield County, Pennsylvania",80596,*****,76391,508,2580,612,508,475,390,250,0,174,228,219,499,384,108,113,391,382
"Columbia County, Pennsylvania",66420,*****,62704,551,1475,372,64,71,781,131,0,174,787,544,609,372,106,145,503,345
"Crawford County, Pennsylvania",86257,*****,82613,209,1507,294,14,22,314,213,51,79,192,187,1566,391,336,298,1230,319
"Cumberland County, Pennsylvania",248506,*****,218262,1148,10293,1181,171,189,10925,957,0,174,4149,1182,4706,1698,953,949,3753,1279
"Dauphin County, Pennsylvania",273707,*****,193791,2250,52861,1936,918,566,11959,548,0,174,7929,2693,6249,1685,190,169,6059,1677
"Delaware County, Pennsylvania",563402,*****,389846,1947,120082,2130,1165,669,32804,838,0,174,6352,1808,13153,2159,878,529,12275,2188
"Erie County, Pennsylvania",276207,*****,241733,1218,20144,1564,613,327,4980,339,201,260,1903,1023,6633,1417,487,360,6146,1440
"Fayette County, Pennsylvania",132733,*****,122730,393,5313,767,63,112,320,198,56,119,589,365,3662,795,65,70,3597,804
"Franklin County, Pennsylvania",153851,*****,142799,1224,6445,745,469,573,1733,470,60,98,601,729,1744,1118,200,253,1544,1054
"Indiana County, Pennsylvania",86364,*****,81885,244,2255,595,291,441,942,489,62,120,156,174,773,491,69,119,704,481
"Lackawanna County, Pennsylvania",211321,*****,193832,1410,5870,1293,214,170,5204,838,58,114,1246,705,4897,1706,80,99,4817,1720
"Lancaster County, Pennsylvania",538500,*****,481798,3232,23427,2211,431,399,10923,1380,53,87,9219,2384,12649,2071,1402,834,11247,1875
"Lawrence County, Pennsylvania",87294,*****,81410,250,4075,497,45,75,344,139,0,174,139,223,1281,512,73,107,1208,510
"Lebanon County, Pennsylvania",138863,*****,120894,1984,3650,958,129,187,2078,135,0,174,9250,2297,2862,1563,1546,1404,1316,753
"Lehigh County, Pennsylvania",363147,*****,286600,4947,26645,3087,358,342,11587,1139,0,174,26967,4483,10990,2216,2337,1353,8653,1995
"Luzerne County, Pennsylvania",316383,*****,285321,2764,13937,1849,452,374,3756,458,77,130,7116,2501,5724,1478,1185,874,4539,1194
"Lycoming County, Pennsylvania",115248,*****,106461,330,5208,901,11,24,637,265,17,34,296,357,2618,889,166,202,2452,887
"Mercer County, Pennsylvania",112913,*****,103190,277,6427,761,71,88,904,205,18,34,165,193,2138,764,26,64,2112,751
"Monroe County, Pennsylvania",166098,*****,124741,3077,23137,2387,257,291,3492,959,191,265,8899,3508,5381,2088,1209,1015,4172,1907
