Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Stanislaus County, California",541560,*****,395715,8826,17096,1389,3427,1152,30615,1763,3166,605,68689,8789,22852,3334,5612,1584,17240,3047
"Sutter County, California",96651,*****,69300,1659,1672,607,653,263,14849,2382,501,135,3331,1229,6345,2791,408,280,5937,2743
"Tulare County, California",460437,*****,340284,8818,6167,1041,6233,1839,20506,5985,908,349,72610,7194,13729,2347,4245,1268,9484,2052
"Ventura County, California",849738,*****,681115,6764,14929,1203,5746,2319,60772,2453,1787,739,45523,6228,39866,4606,6241,1513,33625,4443
"Yolo County, California",215802,*****,151935,3886,5476,864,1835,1134,30155,1727,836,503,11635,3237,13930,3140,1523,835,12407,3005
"Yuba County, California",75275,*****,56042,2046,2331,352,1046,615,3656,1468,1376,989,3971,1989,6853,1808,190,193,6663,1777
"Adams County, Colorado",498187,*****,402970,6651,15865,1245,7677,2185,19783,1318,425,524,32370,5628,19097,3445,4046,1449,15051,3116
"Arapahoe County, Colorado",637068,*****,452406,5911,69336,3031,3623,920,38563,1539,1618,233,47841,6016,23681,3673,4303,1285,19378,3600
"Boulder County, Colorado",322226,*****,288623,2100,3453,507,927,537,15560,1005,209,224,5652,1880,7802,1381,993,557,6809,1210
"Broomfield County, Colorado",66529,*****,57480,1148,727,424,316,250,3943,658,0,195,1812,1292,2251,935,229,339,2022,776
"Denver County, Colorado",693060,*****,522284,7321,68262,2868,5462,1898,25721,1555,410,265,47322,7382,23599,3361,4456,1805,19143,2853
"Douglas County, Colorado",328632,*****,294600,1637,4667,981,1294,517,15524,1118,205,208,3739,1191,8603,1777,1200,784,7403,1548
"El Paso County, Colorado",688284,*****,552441,4811,43539,3984,3588,1541,18301,1654,3009,507,25506,4633,41900,4920,7344,2008,34556,4597
"Jefferson County, Colorado",571837,*****,519734,2790,7314,1400,3596,925,17174,1156,273,229,9742,2188,14004,2009,2859,1104,11145,1690
"Larimer County, Colorado",339993,*****,307362,2833,3351,769,2714,864,7489,1038,516,344,6735,2028,11826,2512,2062,889,9764,2367
"Mesa County, Colorado",150083,*****,140112,1348,465,344,1384,585,1263,251,467,466,2111,1105,4281,856,700,571,3581,817
"Pueblo County, Colorado",165123,*****,133330,3124,4192,1048,8264,2066,1310,421,127,165,13092,2764,4808,1218,1054,503,3754,1077
"Weld County, Colorado",294932,*****,271892,2388,3435,729,970,483,4523,746,0,195,6937,2096,7175,1296,1606,822,5569,1007
"Fairfield County, Connecticut",944177,*****,696692,7566,110693,3655,2811,1588,50381,2263,695,481,52428,6348,30477,4175,8849,2787,21628,3032
