Geography,Estimate; Total
"Cumberland County, Maine",292041
"Kennebec County, Maine",120569
"Penobscot County, Maine",151806
"York County, Maine",202343
"Allegany County, Maryland",72130
"Anne Arundel County, Maryland",568346
"Baltimore County, Maryland",831026
"Calvert County, Maryland",91251
"Carroll County, Maryland",167656
"Cecil County, Maryland",102603
"Charles County, Maryland",157705
"Frederick County, Maryland",247591
"Harford County, Maryland",251032
"Howard County, Maryland",317233
"Montgomery County, Maryland",1043863
"Prince George's County, Maryland",908049
"St. Mary's County, Maryland",112587
"Washington County, Maryland",150292
"Wicomico County, Maryland",102577
"Baltimore city, Maryland",614664
"Barnstable County, Massachusetts",214276
"Berkshire County, Massachusetts",126903
"Bristol County, Massachusetts",558324
"Essex County, Massachusetts",779018
"Franklin County, Massachusetts",70382
"Hampden County, Massachusetts",468467
"Hampshire County, Massachusetts",161816
"Middlesex County, Massachusetts",1589774
"Norfolk County, Massachusetts",697181
"Plymouth County, Massachusetts",513565
"Suffolk County, Massachusetts",784230
"Worcester County, Massachusetts",819589
"Allegan County, Michigan",115548
"Bay County, Michigan",104747
"Berrien County, Michigan",154010
"Calhoun County, Michigan",134386
"Clinton County, Michigan",77888
"Eaton County, Michigan",109160
"Genesee County, Michigan",408615
"Grand Traverse County, Michigan",92084
"Ingham County, Michigan",288051
"Isabella County, Michigan",71282
"Jackson County, Michigan",158460
"Kalamazoo County, Michigan",261654
"Kent County, Michigan",642173
"Lapeer County, Michigan",88340
"Lenawee County, Michigan",98504
"Livingston County, Michigan",188624
"Macomb County, Michigan",867730
"Marquette County, Michigan",66435
"Midland County, Michigan",83462
"Monroe County, Michigan",149208
"Muskegon County, Michigan",173408
"Oakland County, Michigan",1243970
"Ottawa County, Michigan",282250
"Saginaw County, Michigan",192326
"St. Clair County, Michigan",159587
"Shiawassee County, Michigan",68554
"Van Buren County, Michigan",75223
"Washtenaw County, Michigan",364709
"Wayne County, Michigan",1749366
"Anoka County, Minnesota",345957
"Blue Earth County, Minnesota",66441
"Carver County, Minnesota",100262
"Dakota County, Minnesota",417486
"Hennepin County, Minnesota",1232483
"Olmsted County, Minnesota",153102
"Ramsey County, Minnesota",540649
"Rice County, Minnesota",65622
"St. Louis County, Minnesota",199980
"Scott County, Minnesota",143680
"Sherburne County, Minnesota",93528
"Stearns County, Minnesota",155652
"Washington County, Minnesota",253117
"Wright County, Minnesota",132550
"DeSoto County, Mississippi",175611
"Forrest County, Mississippi",75979
"Harrison County, Mississippi",203234
"Hinds County, Mississippi",241229
"Jackson County, Mississippi",141241
"Jones County, Mississippi",67953
"Lauderdale County, Mississippi",77755
"Lee County, Mississippi",85381
"Madison County, Mississippi",105114
"Rankin County, Mississippi",150228
"Boone County, Missouri",176594
"Buchanan County, Missouri",88938
"Cape Girardeau County, Missouri",78913
"Cass County, Missouri",102845
"Christian County, Missouri",84401
"Clay County, Missouri",239085
"Cole County, Missouri",76631
"Franklin County, Missouri",102838
"Greene County, Missouri",288690
"Jackson County, Missouri",691801
"Jasper County, Missouri",119111
"Jefferson County, Missouri",224226
"Platte County, Missouri",98309
"St. Charles County, Missouri",390918
"St. Francois County, Missouri",66627
"St. Louis County, Missouri",998581
"St. Louis city, Missouri",311404
"Cascade County, Montana",81755
"Flathead County, Montana",98082
"Gallatin County, Montana",104502
"Lewis and Clark County, Montana",67282
"Missoula County, Montana",116130
"Yellowstone County, Montana",158437
"Douglas County, Nebraska",554995
"Lancaster County, Nebraska",309637
"Sarpy County, Nebraska",179023
