Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Harris County, Texas",4589928,2880994,874306,15178,317740,3839,392701,105170,23519,81651
"Hays County, Texas",204470,184248,8627,315,3314,0,3753,4213,560,3653
"Henderson County, Texas",79901,71904,4775,928,53,223,402,1616,9,1607
"Hidalgo County, Texas",849843,717201,2922,1953,9403,93,105943,12328,9556,2772
"Hunt County, Texas",92073,71701,7680,1185,1488,0,9273,746,49,697
"Jefferson County, Texas",254679,150261,86060,816,10050,198,4262,3032,888,2144
"Johnson County, Texas",163274,149251,5440,1179,1305,751,1997,3351,701,2650
"Kaufman County, Texas",118350,98799,12733,324,1429,0,2852,2213,428,1785
"Liberty County, Texas",81704,69437,8414,403,476,0,2508,466,57,409
"Lubbock County, Texas",303137,248032,21502,3901,5857,1000,15506,7339,2176,5163
"McLennan County, Texas",247934,191192,36482,1100,3858,149,9396,5757,1377,4380
"Midland County, Texas",162565,139118,11490,341,3386,88,4628,3514,1406,2108
"Montgomery County, Texas",556203,480382,30394,3642,15327,358,12616,13484,1354,12130
"Nueces County, Texas",361350,326313,14774,1487,6628,211,5624,6313,2697,3616
"Orange County, Texas",84964,75017,7525,406,1198,0,0,818,41,777
"Parker County, Texas",129441,121518,1965,984,731,72,2346,1825,389,1436
"Potter County, Texas",120832,94819,12161,302,5672,202,2918,4758,670,4088
"Randall County, Texas",132501,118130,3530,998,2313,188,4183,3159,580,2579
"Rockwall County, Texas",93978,80801,5936,54,2560,0,1569,3058,97,2961
"San Patricio County, Texas",67655,63487,1049,257,598,27,845,1392,190,1202
"Smith County, Texas",225290,170784,39062,1092,3832,159,6557,3804,715,3089
"Tarrant County, Texas",2016872,1367728,320375,9482,109096,2648,141326,66217,9397,56820
"Taylor County, Texas",136535,105853,10686,1134,3333,8,11670,3851,1036,2815
"Tom Green County, Texas",118386,105757,5937,506,1289,0,2978,1919,277,1642
"Travis County, Texas",1199323,892987,99449,5241,76749,1443,81863,41591,6673,34918
"Victoria County, Texas",92467,80797,6235,347,1396,164,2674,854,355,499
"Webb County, Texas",271193,258612,1181,358,832,0,8188,2022,394,1628
"Wichita County, Texas",131838,104044,12709,1428,3735,151,3835,5936,1605,4331
"Williamson County, Texas",528718,421797,31597,1678,35179,143,15041,23283,3781,19502
"Cache County, Utah",122753,110095,968,373,3234,473,5253,2357,174,2183
"Davis County, Utah",342281,304284,4795,1841,6019,2845,11341,11156,2826,8330
"Salt Lake County, Utah",1121354,882231,19235,6570,44706,16997,114439,37176,6520,30656
"Utah County, Utah",592299,548560,3287,4182,8277,5381,5515,17097,1017,16080
"Washington County, Utah",160245,143282,624,2161,1461,1646,7247,3824,1248,2576
"Weber County, Utah",247560,223579,2438,1843,2914,281,9278,7227,836,6391
"Chittenden County, Vermont",161531,145945,4444,481,5969,44,1023,3625,383,3242
"Albemarle County, Virginia",106878,86536,10426,255,5383,70,1618,2590,126,2464
"Arlington County, Virginia",230050,162749,19802,962,23558,411,13518,9050,755,8295
"Bedford County, Virginia",77960,69040,5655,28,917,85,966,1269,352,917
"Chesterfield County, Virginia",339009,229400,76274,672,13052,254,8584,10773,656,10117
"Fairfax County, Virginia",1138652,705214,110990,2448,217179,979,53939,47903,4637,43266
"Fauquier County, Virginia",69069,59717,4975,323,1296,0,313,2445,837,1608
"Frederick County, Virginia",84421,76577,2682,453,1173,0,854,2682,126,2556
"Hanover County, Virginia",104392,90528,8977,281,1023,156,235,3192,247,2945
"Henrico County, Virginia",326501,188411,95882,591,27058,283,3972,10304,640,9664
"James City County, Virginia",74404,58683,9516,36,1654,0,779,3736,579,3157
"Loudoun County, Virginia",385945,258094,27802,1213,67889,769,11962,18216,1996,16220
"Montgomery County, Virginia",98602,84345,4420,419,5442,30,974,2972,636,2336
"Prince William County, Virginia",455210,254644,93401,1594,40673,356,41139,23403,3472,19931
"Roanoke County, Virginia",94031,82416,5908,232,2895,0,1166,1414,50,1364
"Rockingham County, Virginia",79744,73927,2701,0,552,217,1130,1217,0,1217
"Spotsylvania County, Virginia",132010,94731,21641,164,3101,49,7674,4650,612,4038
"Stafford County, Virginia",144361,96123,25628,666,5862,90,8659,7333,1589,5744
"York County, Virginia",67976,50925,8714,241,4245,612,566,2673,569,2104
"Alexandria city, Virginia",155810,92717,34500,99,9726,146,11250,7372,2103,5269
"Chesapeake city, Virginia",237940,147623,71159,68,7197,0,2808,9085,179,8906
"Hampton city, Virginia",135410,56219,68730,75,3506,476,1902,4502,322,4180
"Lynchburg city, Virginia",80212,53004,23624,312,795,0,235,2242,57,2185
"Newport News city, Virginia",181825,86739,73750,430,4472,202,3401,12831,1817,11014
"Norfolk city, Virginia",245115,115675,100685,832,9313,496,8111,10003,1270,8733
"Portsmouth city, Virginia",95252,38231,49467,265,1626,1001,1566,3096,0,3096
"Richmond city, Virginia",223170,101987,105155,650,4903,115,1948,8412,451,7961
"Roanoke city, Virginia",99660,63615,30307,68,3200,123,640,1707,240,1467
"Suffolk city, Virginia",89273,45912,37324,191,1688,89,583,3486,287,3199
"Virginia Beach city, Virginia",452602,303452,82660,901,30196,175,9160,26058,2689,23369
"Benton County, Washington",193686,161191,3631,1070,4742,81,16728,6243,1306,4937
"Chelan County, Washington",76338,68936,1393,95,1004,0,2161,2749,0,2749
"Clallam County, Washington",74570,65652,883,3385,774,48,728,3100,0,3100
"Clark County, Washington",467018,394477,8011,2095,22913,3821,14914,20787,1828,18959
"Cowlitz County, Washington",105160,95117,403,1316,926,69,1800,5529,306,5223
"Franklin County, Washington",90160,54718,1733,726,1777,759,26894,3553,845,2708
"Grant County, Washington",93546,59251,558,843,773,0,26679,5442,2477,2965
"Grays Harbor County, Washington",71628,62373,1187,2996,1304,132,514,3122,301,2821
"Island County, Washington",82636,70785,1993,898,3901,318,914,3827,132,3695
"King County, Washington",2149970,1393480,130762,11288,361162,17123,97649,138506,9465,129041
"Kitsap County, Washington",264811,213321,6587,3022,11318,2204,6781,21578,1814,19764
"Lewis County, Washington",77066,69504,542,1279,932,26,1836,2947,569,2378
"Pierce County, Washington",861312,629794,55912,10825,52850,12192,28744,70995,2328,68667
"Skagit County, Washington",123681,102076,736,2356,2563,354,11035,4561,872,3689
"Snohomish County, Washington",787620,598184,24290,7930,80706,4176,27135,45199,4944,40255
"Spokane County, Washington",499072,437088,9113,8027,11616,2794,9051,21383,1850,19533
"Thurston County, Washington",275222,226065,8506,3433,16030,2555,2870,15763,1097,14666
"Whatcom County, Washington",216800,178402,2619,6037,9298,524,11147,8773,476,8297
"Yakima County, Washington",249636,194416,3499,10785,2502,35,30169,8230,1946,6284
"Berkeley County, West Virginia",113525,98635,10472,271,902,0,1605,1640,199,1441
"Cabell County, West Virginia",95987,87445,4977,15,1307,0,149,2094,159,1935
"Kanawha County, West Virginia",186241,164796,13019,439,2148,0,194,5645,37,5608
"Monongalia County, West Virginia",104622,93692,4161,51,3845,0,630,2243,160,2083
"Raleigh County, West Virginia",76601,66581,5681,276,590,0,945,2528,65,2463
"Brown County, Wisconsin",260401,221450,5768,7072,7972,22,8699,9418,3046,6372
"Dane County, Wisconsin",531273,443862,25227,2137,30922,243,11260,17622,1777,15845
"Dodge County, Wisconsin",88068,85269,1584,105,107,0,149,854,0,854
"Eau Claire County, Wisconsin",102965,95273,764,463,4619,28,173,1645,90,1555
"Fond du Lac County, Wisconsin",102144,94027,762,528,1494,25,3086,2222,143,2079
"Jefferson County, Wisconsin",84625,79619,757,135,270,140,1411,2293,427,1866
"Kenosha County, Wisconsin",168183,143113,12119,827,2482,175,3251,6216,1988,4228
"La Crosse County, Wisconsin",118122,107056,1327,217,5207,9,1091,3215,252,2963
"Manitowoc County, Wisconsin",79536,74773,485,365,2022,0,217,1674,224,1450
"Marathon County, Wisconsin",135603,123417,483,456,7976,0,760,2511,62,2449
"Milwaukee County, Wisconsin",951448,562559,249436,4836,40031,168,57968,36450,4441,32009
"Outagamie County, Wisconsin",184526,165748,2474,2854,6610,65,3225,3550,409,3141
"Ozaukee County, Wisconsin",88314,82993,1353,230,1709,0,493,1536,395,1141
"Portage County, Wisconsin",70447,66177,485,162,1476,0,508,1639,391,1248
"Racine County, Wisconsin",195140,156136,21484,1268,2903,0,7096,6253,1138,5115
"Rock County, Wisconsin",161620,140747,7575,563,1734,0,6456,4545,381,4164
"St. Croix County, Wisconsin",88029,84757,746,297,769,6,143,1311,7,1304
"Sheboygan County, Wisconsin",115427,104025,2495,291,6384,0,251,1981,32,1949
"Walworth County, Wisconsin",102959,96375,1042,90,1026,0,2260,2166,607,1559
"Washington County, Wisconsin",134296,127485,1381,305,2081,126,1397,1521,187,1334
"Waukesha County, Wisconsin",398424,367790,6221,1459,13818,156,3701,5279,452,4827
"Winnebago County, Wisconsin",169886,156755,3786,1004,4567,0,1112,2662,78,2584
"Wood County, Wisconsin",73107,69526,853,347,1435,0,24,922,0,922
"Laramie County, Wyoming",98136,88958,2690,443,1200,362,1209,3274,276,2998
"Natrona County, Wyoming",81039,76905,1391,303,435,0,176,1829,0,1829
