Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Leon County, Florida",287822,177676,88212,521,10203,256,2971,7983,365,7618
"Manatee County, Florida",375888,320089,33480,1015,7143,206,7070,6885,1959,4926
"Marion County, Florida",349020,286955,44143,194,4308,122,1951,11347,2437,8910
"Martin County, Florida",158701,139122,9164,965,1252,179,5813,2206,343,1863
"Miami-Dade County, Florida",2712945,2019915,476506,4683,43745,1265,124482,42349,13703,28646
"Monroe County, Florida",79077,70409,6581,117,1156,0,518,296,23,273
"Okaloosa County, Florida",201170,155446,20398,590,5770,327,8785,9854,245,9609
"Orange County, Florida",1314367,851713,276302,1697,70844,50,67741,46020,13450,32570
"Osceola County, Florida",336015,248442,40387,739,9588,142,23289,13428,4240,9188
"Palm Beach County, Florida",1443810,1079513,266755,1811,38391,536,26821,29983,5262,24721
"Pasco County, Florida",512368,452055,28037,1337,12829,190,6111,11809,1657,10152
"Pinellas County, Florida",960730,784811,97341,3117,33027,820,15140,26474,2765,23709
"Polk County, Florida",666149,525140,100793,1818,12565,306,9710,15817,2906,12911
"St. Johns County, Florida",235087,208208,12331,854,6363,695,1850,4786,594,4192
"St. Lucie County, Florida",306507,227646,59949,1345,6005,0,5409,6153,1479,4674
"Santa Rosa County, Florida",170497,146607,10669,1460,3459,506,772,7024,68,6956
"Sarasota County, Florida",412569,375600,17710,1005,6544,22,4215,7473,509,6964
"Seminole County, Florida",455479,354325,51494,449,19098,343,13835,15935,2083,13852
"Sumter County, Florida",123996,110567,8261,26,558,238,1268,3078,632,2446
"Volusia County, Florida",529364,441448,55747,2528,9730,64,7275,12572,1129,11443
"Walton County, Florida",65889,57530,3771,216,631,0,1955,1786,120,1666
"Barrow County, Georgia",77126,60355,8123,337,2902,0,3247,2162,595,1567
"Bartow County, Georgia",103807,87069,10634,438,890,0,2691,2085,1038,1047
"Bibb County, Georgia",152760,61273,82574,98,3089,0,1592,4134,247,3887
"Bulloch County, Georgia",74722,48483,21840,0,852,0,1553,1994,226,1768
"Carroll County, Georgia",116261,87176,21088,121,1122,384,3996,2374,222,2152
"Chatham County, Georgia",289082,151815,114139,650,6369,558,4208,11343,1183,10160
"Cherokee County, Georgia",241689,207452,16701,1120,5002,0,6793,4621,390,4231
"Clarke County, Georgia",124707,78919,34893,181,5209,33,3137,2335,168,2167
"Clayton County, Georgia",279462,43114,190956,926,14614,0,21285,8567,910,7657
"Cobb County, Georgia",748150,439448,202244,3133,39953,676,36792,25904,4019,21885
"Columbia County, Georgia",147450,108438,24938,932,6402,0,1413,5327,152,5175
