,Geography,Estimate; Total
336,"Isabella County, Michigan",71282
337,"Jackson County, Michigan",158460
338,"Kalamazoo County, Michigan",261654
339,"Kent County, Michigan",642173
340,"Lapeer County, Michigan",88340
341,"Lenawee County, Michigan",98504
342,"Livingston County, Michigan",188624
343,"Macomb County, Michigan",867730
344,"Marquette County, Michigan",66435
345,"Midland County, Michigan",83462
346,"Monroe County, Michigan",149208
347,"Muskegon County, Michigan",173408
348,"Oakland County, Michigan",1243970
349,"Ottawa County, Michigan",282250
350,"Saginaw County, Michigan",192326
351,"St. Clair County, Michigan",159587
352,"Shiawassee County, Michigan",68554
353,"Van Buren County, Michigan",75223
354,"Washtenaw County, Michigan",364709
355,"Wayne County, Michigan",1749366
356,"Anoka County, Minnesota",345957
357,"Blue Earth County, Minnesota",66441
358,"Carver County, Minnesota",100262
359,"Dakota County, Minnesota",417486
360,"Hennepin County, Minnesota",1232483
361,"Olmsted County, Minnesota",153102
362,"Ramsey County, Minnesota",540649
363,"Rice County, Minnesota",65622
364,"St. Louis County, Minnesota",199980
365,"Scott County, Minnesota",143680
366,"Sherburne County, Minnesota",93528
367,"Stearns County, Minnesota",155652
368,"Washington County, Minnesota",253117
369,"Wright County, Minnesota",132550
370,"DeSoto County, Mississippi",175611
371,"Forrest County, Mississippi",75979
372,"Harrison County, Mississippi",203234
373,"Hinds County, Mississippi",241229
374,"Jackson County, Mississippi",141241
375,"Jones County, Mississippi",67953
376,"Lauderdale County, Mississippi",77755
377,"Lee County, Mississippi",85381
378,"Madison County, Mississippi",105114
379,"Rankin County, Mississippi",150228
380,"Boone County, Missouri",176594
381,"Buchanan County, Missouri",88938
382,"Cape Girardeau County, Missouri",78913
383,"Cass County, Missouri",102845
384,"Christian County, Missouri",84401
385,"Clay County, Missouri",239085
386,"Cole County, Missouri",76631
387,"Franklin County, Missouri",102838
388,"Greene County, Missouri",288690
389,"Jackson County, Missouri",691801
390,"Jasper County, Missouri",119111
391,"Jefferson County, Missouri",224226
392,"Platte County, Missouri",98309
393,"St. Charles County, Missouri",390918
394,"St. Francois County, Missouri",66627
395,"St. Louis County, Missouri",998581
396,"St. Louis city, Missouri",311404
397,"Cascade County, Montana",81755
398,"Flathead County, Montana",98082
399,"Gallatin County, Montana",104502
400,"Lewis and Clark County, Montana",67282
401,"Missoula County, Montana",116130
402,"Yellowstone County, Montana",158437
403,"Douglas County, Nebraska",554995
404,"Lancaster County, Nebraska",309637
405,"Sarpy County, Nebraska",179023
406,"Clark County, Nevada",2155664
407,"Washoe County, Nevada",453616
408,"Cheshire County, New Hampshire",75774
409,"Grafton County, New Hampshire",88888
410,"Hillsborough County, New Hampshire",407761
411,"Merrimack County, New Hampshire",148582
412,"Rockingham County, New Hampshire",303251
413,"Strafford County, New Hampshire",127428
414,"Atlantic County, New Jersey",270991
415,"Bergen County, New Jersey",939151
416,"Burlington County, New Jersey",449284
417,"Camden County, New Jersey",510150
418,"Cape May County, New Jersey",94430
419,"Cumberland County, New Jersey",153797
420,"Essex County, New Jersey",796914
421,"Gloucester County, New Jersey",292330
422,"Hudson County, New Jersey",677983
423,"Hunterdon County, New Jersey",124676
424,"Mercer County, New Jersey",371023
425,"Middlesex County, New Jersey",837073
426,"Monmouth County, New Jersey",625846
427,"Morris County, New Jersey",498423
428,"Ocean County, New Jersey",592497
429,"Passaic County, New Jersey",507945
430,"Salem County, New Jersey",63436
431,"Somerset County, New Jersey",333751
432,"Sussex County, New Jersey",142522
433,"Union County, New Jersey",555630
434,"Warren County, New Jersey",106617
435,"Bernalillo County, New Mexico",676953
436,"Chaves County, New Mexico",65282
437,"DoÒa Ana County, New Mexico",214207
438,"Lea County, New Mexico",69749
439,"McKinley County, New Mexico",74923
440,"Otero County, New Mexico",65410
441,"Sandoval County, New Mexico",142025
442,"San Juan County, New Mexico",115079
443,"Santa Fe County, New Mexico",148651
444,"Valencia County, New Mexico",75626
445,"Albany County, New York",308846
446,"Bronx County, New York",1455720
447,"Broome County, New York",195334
448,"Cattaraugus County, New York",77677
449,"Cayuga County, New York",77861
450,"Chautauqua County, New York",129504
451,"Chemung County, New York",86322
452,"Clinton County, New York",81073
453,"Dutchess County, New York",294473
454,"Erie County, New York",921046
455,"Jefferson County, New York",114006
456,"Kings County, New York",2629150
457,"Livingston County, New York",64257
458,"Madison County, New York",71329
459,"Monroe County, New York",747727
460,"Nassau County, New York",1361500
461,"New York County, New York",1643734
462,"Niagara County, New York",211758
463,"Oneida County, New York",231190
464,"Onondaga County, New York",466194
465,"Ontario County, New York",109828
466,"Orange County, New York",379210
467,"Oswego County, New York",118987
468,"Putnam County, New York",98900
469,"Queens County, New York",2333054
470,"Rensselaer County, New York",160070
471,"Richmond County, New York",476015
472,"Rockland County, New York",326780
473,"St. Lawrence County, New York",110038
474,"Saratoga County, New York",227053
475,"Schenectady County, New York",154553
476,"Steuben County, New York",96940
477,"Suffolk County, New York",1492583
478,"Sullivan County, New York",74801
479,"Tompkins County, New York",104871
480,"Ulster County, New York",179225
481,"Warren County, New York",64567
482,"Wayne County, New York",90798
483,"Westchester County, New York",974542
484,"Alamance County, North Carolina",159688
485,"Brunswick County, North Carolina",126953
486,"Buncombe County, North Carolina",256088
487,"Burke County, North Carolina",88851
488,"Cabarrus County, North Carolina",201590
489,"Caldwell County, North Carolina",81449
490,"Carteret County, North Carolina",68890
491,"Catawba County, North Carolina",156459
492,"Chatham County, North Carolina",72243
493,"Cleveland County, North Carolina",97144
494,"Craven County, North Carolina",103445
495,"Cumberland County, North Carolina",327127
496,"Davidson County, North Carolina",164926
497,"Durham County, North Carolina",306212
498,"Forsyth County, North Carolina",371511
499,"Gaston County, North Carolina",216965
500,"Guilford County, North Carolina",521330
501,"Harnett County, North Carolina",130881
502,"Henderson County, North Carolina",114209
503,"Iredell County, North Carolina",172916
504,"Johnston County, North Carolina",191450
505,"Lincoln County, North Carolina",81168
506,"Mecklenburg County, North Carolina",1054835
507,"Moore County, North Carolina",95776
508,"Nash County, North Carolina",94005
509,"New Hanover County, North Carolina",223483
510,"Onslow County, North Carolina",187136
511,"Orange County, North Carolina",141796
512,"Pitt County, North Carolina",177220
513,"Randolph County, North Carolina",143416
514,"Robeson County, North Carolina",133235
515,"Rockingham County, North Carolina",91393
516,"Rowan County, North Carolina",139933
517,"Rutherford County, North Carolina",66421
518,"Surry County, North Carolina",72113
519,"Union County, North Carolina",226606
520,"Wake County, North Carolina",1046791
521,"Wayne County, North Carolina",124150
522,"Wilkes County, North Carolina",68740
523,"Wilson County, North Carolina",81661
524,"Burleigh County, North Dakota",94487
525,"Cass County, North Dakota",175249
526,"Grand Forks County, North Dakota",71083
527,"Ward County, North Dakota",70210
528,"Allen County, Ohio",103742
529,"Ashtabula County, Ohio",98231
530,"Athens County, Ohio",66186
531,"Belmont County, Ohio",68673
532,"Butler County, Ohio",377537
533,"Clark County, Ohio",134786
534,"Clermont County, Ohio",203022
535,"Columbiana County, Ohio",103685
536,"Cuyahoga County, Ohio",1249352
537,"Delaware County, Ohio",196463
538,"Erie County, Ohio",75107
539,"Fairfield County, Ohio",152597
540,"Franklin County, Ohio",1264518
541,"Geauga County, Ohio",94060
542,"Greene County, Ohio",164765
543,"Hamilton County, Ohio",809099
544,"Hancock County, Ohio",75872
545,"Jefferson County, Ohio",66704
546,"Lake County, Ohio",228614
547,"Licking County, Ohio",172198
548,"Lorain County, Ohio",306365
549,"Lucas County, Ohio",432488
550,"Mahoning County, Ohio",230008
551,"Marion County, Ohio",65096
552,"Medina County, Ohio",177221
553,"Miami County, Ohio",104679
554,"Montgomery County, Ohio",531239
555,"Muskingum County, Ohio",86068
556,"Portage County, Ohio",161921
557,"Richland County, Ohio",121107
558,"Ross County, Ohio",77000
559,"Scioto County, Ohio",76088
560,"Stark County, Ohio",373612
561,"Summit County, Ohio",540300
562,"Trumbull County, Ohio",201825
563,"Tuscarawas County, Ohio",92420
564,"Warren County, Ohio",227063
565,"Wayne County, Ohio",116470
566,"Wood County, Ohio",130219
567,"Canadian County, Oklahoma",136532
568,"Cleveland County, Oklahoma",278655
569,"Comanche County, Oklahoma",122136
570,"Creek County, Oklahoma",71312
571,"Muskogee County, Oklahoma",69477
572,"Oklahoma County, Oklahoma",782970
573,"Payne County, Oklahoma",81131
574,"Pottawatomie County, Oklahoma",72290
575,"Rogers County, Oklahoma",91766
576,"Tulsa County, Oklahoma",642940
577,"Wagoner County, Oklahoma",77679
578,"Benton County, Oregon",89385
579,"Clackamas County, Oregon",408062
580,"Deschutes County, Oregon",181307
581,"Douglas County, Oregon",108457
582,"Jackson County, Oregon",216527
583,"Josephine County, Oregon",85904
584,"Klamath County, Oregon",66443
585,"Lane County, Oregon",369519
586,"Linn County, Oregon",122849
587,"Marion County, Oregon",336316
588,"Multnomah County, Oregon",799766
589,"Polk County, Oregon",81823
590,"Umatilla County, Oregon",76456
591,"Washington County, Oregon",582779
592,"Yamhill County, Oregon",105035
593,"Adams County, Pennsylvania",102180
594,"Allegheny County, Pennsylvania",1225365
595,"Armstrong County, Pennsylvania",66486
596,"Beaver County, Pennsylvania",167429
597,"Berks County, Pennsylvania",414812
598,"Blair County, Pennsylvania",124650
599,"Bucks County, Pennsylvania",626399
600,"Butler County, Pennsylvania",186847
601,"Cambria County, Pennsylvania",134732
602,"Carbon County, Pennsylvania",63594
603,"Centre County, Pennsylvania",161464
604,"Chester County, Pennsylvania",516312
605,"Clearfield County, Pennsylvania",80596
606,"Columbia County, Pennsylvania",66420
607,"Crawford County, Pennsylvania",86257
608,"Cumberland County, Pennsylvania",248506
609,"Dauphin County, Pennsylvania",273707
610,"Delaware County, Pennsylvania",563402
611,"Erie County, Pennsylvania",276207
612,"Fayette County, Pennsylvania",132733
613,"Franklin County, Pennsylvania",153851
614,"Indiana County, Pennsylvania",86364
615,"Lackawanna County, Pennsylvania",211321
616,"Lancaster County, Pennsylvania",538500
617,"Lawrence County, Pennsylvania",87294
618,"Lebanon County, Pennsylvania",138863
619,"Lehigh County, Pennsylvania",363147
620,"Luzerne County, Pennsylvania",316383
