,Geography,Total; Estimate; All households,Mean income (dollars); Estimate; All households,Total; Estimate; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months
420,"Essex County, New Jersey",280734,92032,78.2,98892,17.9,25116,26.5,17460,7.7,9437,2.8,2212,13.4,27630,175085,117198,11.2,42942,36.3,85308,27.3,186474,13.0,91602,7.6,170414,4.5,123300,796914,34398,44.6,47865,39.8,21867,0.2,9467,5.3,48017,0.0,N,7.4,16256,2.7,21233,22.7,20843,31.1,58265,40.5,41.7,32.8
421,"Gloucester County, New Jersey",105436,95344,79.3,99442,21.5,14257,33.2,19786,5.0,13308,2.8,3163,21.8,23084,72358,113019,11.9,54888,26.5,80059,30.4,138017,12.3,103787,14.7,165575,4.1,148472,292330,35497,81.3,37347,10.2,28683,0.1,N,3.1,31058,0.0,N,2.1,24187,3.3,22692,6.0,25408,78.9,37749,34.8,36.7,27.8
422,"Hudson County, New Jersey",253321,96308,83.5,103465,18.5,16499,21.9,15594,5.2,8585,3.0,2049,9.5,24917,156964,102914,10.1,32905,35.0,72925,28.5,169650,14.7,80461,6.9,122685,4.9,113152,677983,37309,54.3,42036,12.0,27404,0.4,26589,15.1,49766,0.1,N,14.2,18912,3.9,22566,43.2,20349,28.5,60323,40.1,41.3,30.9
423,"Hunterdon County, New Jersey",47195,145102,82.5,147715,37.5,22893,28.9,23433,3.6,11104,1.1,2969,21.6,28931,35758,166776,10.5,57848,26.1,138440,43.8,198196,6.7,156641,11.0,217809,1.9,171976,124676,54970,90.8,57515,2.8,11384,0.0,N,3.8,51435,0.1,N,1.0,8056,1.5,23059,6.4,38241,85.9,58104,28.2,28.6,22.2
424,"Mercer County, New Jersey",128332,111623,79.0,115272,25.7,25369,30.4,20530,4.7,9349,2.7,2967,19.5,31452,85853,134688,11.6,62491,32.8,107739,32.6,182637,10.2,95334,9.1,208276,3.8,106524,371023,40963,64.4,45486,21.1,21683,0.1,N,11.0,57399,0.2,N,1.1,25556,2.0,22082,17.1,17403,50.3,53277,39.0,40.0,31.8
425,"Middlesex County, New Jersey",283661,102689,82.2,106095,25.2,12450,28.4,20489,3.8,9901,1.7,3160,17.2,27452,207714,119593,9.6,54676,31.9,98157,32.1,146361,10.7,96287,11.3,170726,4.5,146656,837073,35941,58.6,36462,10.0,32597,0.3,41771,24.3,40253,0.0,N,4.3,20714,2.6,21312,20.7,21744,43.6,41427,36.5,36.6,27.3
426,"Monmouth County, New Jersey",230769,120305,79.3,125413,27.9,19164,33.9,21091,3.6,9921,1.3,5840,21.6,30313,159719,143150,11.8,63601,27.5,118479,33.0,180999,11.4,122536,11.9,193592,4.3,144359,625846,45652,82.2,48309,7.3,26595,0.2,38523,5.7,52803,0.0,N,3.0,19940,1.7,19314,10.8,25218,75.1,50189,38.6,40.2,30.9
427,"Morris County, New Jersey",181059,143205,83.8,144322,33.9,20981,29.7,22405,2.1,10675,1.0,3830,18.8,34866,132482,164934,10.2,77171,27.9,146788,36.4,203450,9.3,133206,12.2,197058,4.0,139791,498423,52726,80.7,56481,3.2,35620,0.0,N,10.6,45319,0.0,N,3.6,18436,1.9,28088,13.3,29128,71.2,59719,33.0,33.1,24.5
428,"Ocean County, New Jersey",224308,82537,67.5,87848,26.1,14466,44.7,20941,4.0,13295,1.9,3347,26.9,28252,144116,98046,20.7,58084,29.8,78418,27.9,130512,8.5,98912,9.5,147743,3.6,104712,592497,32141,90.6,32793,2.9,30250,0.1,N,2.0,47695,0.1,N,2.9,14664,1.4,11791,9.1,20819,84.7,33382,35.9,36.4,29.4
429,"Passaic County, New Jersey",163868,86051,80.4,90001,19.9,16716,27.8,19131,4.2,10065,2.2,3086,15.4,23598,119082,97202,11.9,40293,32.7,62742,26.6,133141,13.6,87265,9.8,172751,5.4,140333,507945,29546,65.7,34233,11.3,19416,0.3,N,5.2,35735,0.0,N,14.7,17210,2.7,16479,41.1,18592,41.2,42882,44.8,45.5,35.2
430,"Salem County, New Jersey",24195,73756,69.7,76221,21.3,26447,40.7,18898,6.0,7656,3.5,1866,22.8,23051,14197,91533,20.5,48978,28.4,65555,30.1,119522,8.8,76563,10.0,187835,2.3,65145,63436,29601,79.3,33275,12.8,16981,0.3,18210,1.2,13715,0.0,N,3.1,16190,3.3,9682,8.4,11152,74.8,34680,37.6,39.8,33.5
431,"Somerset County, New Jersey",116169,142077,82.0,148385,34.1,21468,28.1,22224,2.8,9803,1.6,4826,18.0,30167,82253,170471,9.2,95730,26.2,149695,38.7,199863,9.5,145164,13.8,190471,2.7,192026,333751,51526,67.2,55134,9.7,32739,0.5,15778,17.2,58627,0.0,N,3.1,19575,2.2,22521,14.6,23859,56.7,60620,40.9,40.5,32.9
432,"Sussex County, New Jersey",51978,109564,82.7,109029,25.6,17371,31.5,21978,3.8,11169,1.5,4569,20.9,30760,37352,122770,9.9,65209,30.3,102393,32.9,140058,11.6,92662,12.9,186017,2.3,189199,142522,40979,92.9,41939,2.0,22427,0.0,N,2.3,52387,0.0,N,1.2,16887,1.6,9890,7.8,27596,86.8,42918,33.9,35.4,27.0
433,"Union County, New Jersey",187922,109955,81.8,114107,21.9,20967,27.4,19551,4.7,9198,2.6,3356,17.2,29721,135811,126769,10.8,59443,30.8,103111,30.7,166063,12.1,99213,11.5,172450,4.3,140843,555630,38854,54.8,47979,20.7,29055,0.4,21287,5.0,51275,0.0,N,16.2,21086,2.9,16236,31.3,22010,39.0,58136,38.1,38.7,30.9
434,"Warren County, New Jersey",40512,94313,81.5,94529,26.8,12560,32.7,20690,3.3,13914,2.1,3250,22.8,23713,27082,108773,11.0,47508,31.7,90456,31.5,138464,10.3,89815,11.2,151847,4.3,115679,106617,36448,89.1,37038,4.7,32569,0.1,N,2.6,40392,0.0,N,1.9,14685,1.5,35040,8.8,21544,82.3,38185,31.0,30.9,25.5
435,"Bernalillo County, New Mexico",262328,69392,75.9,69957,20.1,13402,31.9,17842,5.3,10237,3.1,3009,20.5,28708,159107,82627,15.9,51401,36.0,63203,28.7,115689,10.1,75925,6.2,119637,3.1,110024,676953,28414,70.8,31295,2.8,22077,5.1,19806,2.7,31987,0.1,N,15.0,19637,3.5,22677,49.7,20997,39.0,39231,30.6,32.5,24.8
436,"Chaves County, New Mexico",22516,53516,72.7,55793,14.5,15865,35.5,16652,8.0,8638,2.5,672,17.6,18716,15342,63937,15.6,35340,39.6,41939,26.6,99862,10.2,53914,6.3,128349,1.8,95597,65282,20020,90.8,20530,2.6,17761,2.3,9574,0.1,N,0.0,N,3.1,19357,1.1,N,N,N,N,N,34.8,37.9,30.3
437,"DoÒa Ana County, New Mexico",75759,56328,74.9,54501,12.3,13201,32.2,17239,6.1,9013,2.7,3757,21.4,29016,52662,64198,18.0,44116,31.8,40651,26.2,103421,14.9,53059,7.1,93887,2.0,82320,214207,20291,90.8,20182,1.7,20529,1.2,N,1.1,35762,0.0,N,4.0,12892,1.1,15833,68.0,14754,27.7,32174,23.8,24.8,17.5
438,"Lea County, New Mexico",20793,67445,82.2,68716,8.9,20431,27.0,16502,6.5,14355,1.8,1968,12.6,19338,15310,74757,12.8,31322,47.8,54410,21.8,124600,9.4,91426,6.2,109582,2.0,107325,69749,21520,89.2,22151,3.1,14470,0.6,7302,0.0,N,0.1,N,4.5,18319,2.5,17478,57.5,15476,36.5,32103,41.0,41.9,30.5
439,"McKinley County, New Mexico",20061,43857,69.8,47022,7.9,12206,26.2,14907,16.4,7789,4.0,2759,15.7,22800,13876,46859,22.5,22866,38.2,34753,17.8,67475,12.3,60175,3.6,113764,5.7,87740,74923,13359,13.8,28806,0.2,N,78.2,10534,1.0,15690,0.3,N,5.3,16016,1.2,N,13.6,14243,8.4,34984,53.5,56.8,41.9
440,"Otero County, New Mexico",22384,66808,73.2,65296,13.0,14928,38.0,16531,5.5,10032,3.5,5440,27.2,31515,14135,85329,20.2,47332,36.5,56720,30.5,109800,6.3,278498,4.2,67612,2.4,54488,65410,26902,77.7,30447,4.0,17738,6.8,14198,1.5,19023,0.0,N,5.5,11177,4.5,14834,37.8,20302,49.3,34213,29.5,31.3,22.3
441,"Sandoval County, New Mexico",49821,73308,74.7,73150,23.2,12733,34.3,18553,4.0,11379,1.5,3086,24.2,28465,35405,84155,17.1,56583,33.8,72306,32.2,110069,8.1,72856,5.8,93958,3.0,108079,142025,27038,70.0,30731,2.1,19719,12.7,16190,1.5,20160,0.0,N,8.4,16138,5.4,26104,38.1,19831,44.0,35768,32.7,34.3,27.4
442,"San Juan County, New Mexico",43093,65449,76.5,68899,11.9,14481,33.1,16990,6.8,7694,2.9,3365,19.1,18801,29374,72819,17.2,34097,35.7,59077,26.7,104534,10.8,75806,7.3,104937,2.3,91582,115079,24556,54.2,30646,0.6,33429,36.0,16231,0.6,57671,0.1,N,5.9,20188,2.7,13579,20.6,17933,41.7,34563,41.3,44.9,30.8
443,"Santa Fe County, New Mexico",60096,82210,73.7,75557,28.3,31677,37.0,19577,2.9,9478,1.4,1782,23.7,36284,33629,98759,18.3,71164,34.9,85398,30.8,124171,8.5,85099,5.2,145712,2.3,123666,148651,36316,84.8,37699,0.8,24487,3.5,22044,1.3,55342,0.0,N,6.7,28289,2.8,26110,51.0,23932,42.8,51609,35.4,37.6,28.4
444,"Valencia County, New Mexico",26575,54551,71.4,51153,11.6,16336,39.5,17664,7.7,8175,4.6,3373,24.2,29513,18709,60258,20.3,48096,42.1,47953,22.2,85123,7.6,54972,5.3,89510,2.6,98702,75626,20356,80.1,20994,1.0,N,3.7,13168,0.4,N,0.0,N,11.1,17369,3.7,15781,60.3,17194,33.3,25783,35.6,34.9,26.8
445,"Albany County, New York",125329,83464,77.9,83895,25.2,13370,31.2,19754,5.4,10511,2.5,3545,23.3,29960,69122,106202,12.7,63526,31.0,82965,33.6,134327,10.5,101482,8.8,149392,3.4,102480,308846,34857,74.7,38827,12.4,20046,0.3,20542,6.8,34499,0.0,N,1.8,16646,4.0,16286,5.8,22701,72.1,39063,32.2,33.2,27.1
446,"Bronx County, New York",498539,53466,75.4,58777,7.5,14070,26.1,14152,12.5,8800,7.5,3353,12.0,18656,331774,59196,14.2,21085,40.8,44110,16.3,90911,17.2,63992,5.2,113088,6.3,102698,1455720,19369,21.5,25512,34.0,20323,0.6,13002,3.6,21650,0.0,N,36.3,15009,4.0,16624,56.0,16003,9.0,35214,42.5,44.9,32.6
447,"Broome County, New York",76957,67239,69.5,70294,26.2,9513,37.8,18906,7.4,10518,5.7,3787,26.6,25663,46264,82375,21.6,43876,28.5,58972,29.7,114386,8.7,83187,8.4,134108,3.1,117072,195334,27373,85.3,30001,6.5,12602,0.0,N,3.6,15463,0.0,N,1.0,12379,3.7,8150,4.1,11959,83.6,30304,38.5,37.9,33.5
448,"Cattaraugus County, New York",31409,57722,70.1,59830,16.8,8354,38.0,18673,7.0,8080,2.7,2524,24.6,20601,19505,69266,18.9,43095,33.5,55837,30.6,89804,8.5,67803,7.9,111506,0.6,63069,77677,23841,91.8,24639,1.5,7093,3.4,14485,0.7,N,0.0,N,0.5,25266,2.2,11167,2.0,12085,90.7,24825,26.8,26.6,22.5
449,"Cayuga County, New York",30966,68575,74.3,68183,23.3,17510,39.6,16966,6.8,11879,2.8,2962,25.9,20515,18539,76794,15.1,50713,34.3,59503,29.4,98839,7.4,76016,10.6,113447,3.2,62860,77861,28023,92.1,29557,4.2,9068,0.2,N,0.5,30367,0.0,N,0.7,N,2.3,4722,2.9,11995,90.2,29928,37.3,35.0,32.4
450,"Chautauqua County, New York",51705,55539,67.3,57233,20.6,7798,40.0,18816,9.4,8614,4.5,4505,24.3,24374,31199,66524,20.4,45633,30.5,51107,32.0,81303,7.1,76415,8.8,105228,1.2,78566,129504,23049,92.7,24116,2.9,7714,0.3,31740,0.6,14943,0.0,N,1.6,11323,2.0,6662,7.5,9798,87.5,24985,32.9,32.4,26.8
451,"Chemung County, New York",34418,67332,73.4,67537,19.2,8899,37.2,18171,10.7,9375,1.6,2830,26.1,25478,21203,82566,16.6,56306,31.5,57572,36.8,106577,9.0,102829,5.0,109401,1.1,104847,86322,27636,87.9,28273,5.6,13992,0.2,N,1.8,70821,0.0,N,0.9,16523,3.6,10954,3.0,14262,86.2,28528,32.5,31.9,27.9
452,"Clinton County, New York",30624,65214,73.7,66197,17.9,9127,33.9,19267,6.6,11436,2.9,6905,25.9,23531,20266,73337,18.5,47988,31.8,53520,29.3,95526,9.5,81197,9.8,105603,1.1,126231,81073,25278,90.2,26865,4.8,N,0.1,N,1.2,23496,0.0,N,2.2,15212,1.5,N,2.9,14451,89.4,26878,38.1,40.8,31.6
453,"Dutchess County, New York",108200,99958,79.0,96747,26.5,26148,34.2,20914,5.7,9380,2.4,3863,25.4,27865,71176,117569,13.6,62955,32.1,87451,31.4,150727,8.7,108511,10.1,184964,4.1,133044,294473,37559,79.0,40813,10.7,23316,0.3,25245,3.6,38446,0.1,N,3.1,27452,3.1,14869,12.0,26675,71.3,42065,37.8,38.2,32.3
454,"Erie County, New York",380473,73544,72.8,76820,23.8,12751,35.3,18720,6.1,9063,2.7,3867,22.7,25897,222109,92176,17.2,53863,31.0,73922,28.8,122804,11.6,77223,8.8,142774,2.7,119052,921046,31450,78.1,35139,13.3,18107,0.5,15095,3.7,27041,0.0,N,2.0,10848,2.3,13166,5.3,14920,75.8,35639,36.9,38.5,30.5
455,"Jefferson County, New York",41415,61225,77.7,60902,17.7,8585,31.3,17684,4.9,6883,4.0,2570,19.9,25398,28174,68344,14.9,42170,33.3,51816,37.1,85686,7.0,69317,5.3,100705,2.3,119123,114006,23964,86.5,25308,5.1,19361,1.5,16759,1.8,15935,0.0,N,1.2,14222,3.9,9512,7.2,12508,82.0,25994,27.9,25.6,21.8
456,"Kings County, New York",941871,83115,78.9,91048,15.1,19681,24.3,15695,8.9,9162,4.9,3736,11.7,23742,575987,92770,12.8,32014,35.2,69278,24.4,145292,14.8,81200,7.0,139795,5.8,121985,2629150,30526,42.8,39742,32.8,24685,0.3,18275,12.0,26216,0.1,27497,9.0,16136,3.0,25071,19.2,19270,35.8,42902,49.7,53.9,40.1
457,"Livingston County, New York",23904,61229,78.1,58649,22.3,8284,37.4,18858,3.9,9569,4.2,1024,26.7,18636,14255,74351,12.3,45476,37.7,58287,31.3,95801,9.5,67027,7.7,111114,1.5,128001,64257,23687,92.6,24974,3.1,2038,0.5,N,1.1,5443,0.1,N,1.2,22892,1.3,N,3.5,13620,90.8,25198,34.5,35.8,28.8
458,"Madison County, New York",25612,76630,74.0,81219,20.9,15341,35.6,17619,3.9,10361,3.0,3320,23.6,24320,15782,95147,15.6,60054,25.6,73598,42.3,117187,6.5,77057,9.1,124119,1.0,113828,71329,29509,94.6,30395,1.8,14645,0.3,29863,1.0,12462,0.2,N,0.3,N,1.8,11158,2.1,22144,93.1,30466,48.0,48.0,38.4
459,"Monroe County, New York",299224,74700,74.6,76780,22.9,17712,33.3,19655,6.3,9714,3.8,3334,20.7,24224,179894,91518,16.4,54879,29.7,66786,32.2,124221,10.9,73277,7.9,147892,2.8,104543,747727,31269,76.3,35209,15.2,17305,0.4,20621,3.5,28764,0.0,N,1.6,17158,2.9,13238,8.5,16934,70.7,36627,34.7,35.6,30.2
460,"Nassau County, New York",440785,139034,80.6,140045,29.8,29675,35.0,22414,3.7,10712,1.3,3619,21.7,35158,337008,158896,10.6,77397,26.8,135223,32.1,188778,10.8,125858,14.6,213841,5.0,178327,1361500,46482,68.1,53168,11.6,32447,0.3,52782,9.4,44286,0.0,35308,7.5,20708,3.1,21243,16.8,26576,60.5,55706,45.4,45.9,35.6
461,"New York County, New York",748293,143741,79.3,156910,26.1,39338,23.4,17676,6.2,9195,3.0,3464,10.6,29411,315379,195026,12.9,56473,33.8,154776,36.8,315262,9.9,93977,3.4,213048,3.2,93000,1643734,68126,56.7,92873,15.0,25020,0.3,30904,12.4,62932,0.1,32798,10.9,19163,4.6,36631,26.0,24422,46.8,105508,32.5,38.5,28.7
462,"Niagara County, New York",86786,65869,71.9,67868,18.1,7560,37.5,19257,5.8,9657,3.1,3028,27.6,23727,54186,79627,16.3,47651,35.1,60283,26.8,106092,10.6,80883,8.5,130878,2.7,94662,211758,27848,87.4,29643,6.4,16425,1.1,15781,1.0,16992,0.1,N,0.9,23220,3.2,10754,2.8,18573,85.7,29922,33.2,33.1,26.3
463,"Oneida County, New York",87929,68695,70.0,71873,22.0,12045,38.7,18244,7.0,9846,3.5,2735,28.3,23655,55064,82581,18.8,45256,33.6,65416,28.9,112959,8.6,80612,8.4,133010,1.7,78614,231190,27357,85.6,29073,5.8,14071,0.2,N,4.2,27340,0.0,N,1.1,14455,3.2,8849,5.5,11290,82.2,29848,43.3,44.5,36.7
464,"Onondaga County, New York",182984,76174,74.7,81006,23.0,11291,33.5,19163,5.1,9670,3.3,3790,21.2,22677,109911,93616,16.0,44236,29.7,71323,31.9,128010,10.4,77625,9.8,144280,2.2,104622,466194,31040,79.6,34484,11.3,16335,0.4,32013,3.7,24462,0.0,N,1.3,13421,3.6,14704,4.8,17052,77.0,34915,33.1,35.0,27.8
465,"Ontario County, New York",45187,78032,75.5,79995,23.4,8616,37.4,20648,5.0,7345,2.2,1962,27.1,23121,29197,95296,16.9,52360,27.7,67510,33.7,125586,10.5,83483,9.6,154665,1.7,114026,109828,32922,92.2,34014,2.9,12595,0.5,N,1.2,52584,0.1,N,1.5,10646,1.6,12996,4.5,15012,90.2,34345,30.8,31.6,25.0
466,"Orange County, New York",124365,91061,79.4,92845,19.7,12926,31.7,19697,4.9,12285,2.1,3555,21.1,32234,86063,104983,11.7,50035,31.6,76123,34.1,136714,8.5,87307,11.1,156965,3.1,119292,379210,31571,73.5,34259,10.2,27687,0.5,23261,2.8,37165,0.0,N,8.7,20509,4.2,14456,20.1,24068,64.7,34829,48.1,47.4,38.4
467,"Oswego County, New York",44633,65090,73.7,65536,20.0,9383,37.4,18958,7.3,9116,4.2,3766,24.4,21991,29386,74438,17.3,44311,36.6,59554,28.7,98025,7.4,72361,8.6,118326,1.4,94241,118987,25432,95.7,26057,1.5,12398,0.2,N,0.6,20408,0.1,N,0.1,N,1.8,6791,2.5,12636,94.2,26196,33.6,35.6,26.0
468,"Putnam County, New York",34762,122979,80.7,123816,30.8,14794,34.7,22396,3.2,16510,2.0,1650,26.8,31214,25936,140021,13.9,65099,24.1,132938,35.5,168227,11.4,119513,10.2,184334,5.0,138189,98900,43309,86.0,46474,1.5,45042,0.9,N,2.2,34018,0.1,N,7.1,16372,2.2,22271,14.3,24698,79.5,47745,39.2,40.2,30.5
469,"Queens County, New York",761819,81379,80.8,85132,17.2,16565,28.2,17318,5.5,8727,3.2,3654,14.1,24920,505823,89303,11.5,38794,32.4,64784,24.3,120385,15.2,84970,9.3,140007,7.2,119094,2333054,28609,38.8,35817,18.1,27363,0.4,22144,25.4,24822,0.1,36706,13.7,18714,3.6,21958,28.0,21362,24.9,42570,47.8,50.9,38.8
470,"Rensselaer County, New York",62816,80856,79.0,80984,23.5,10251,33.3,19061,4.5,10274,2.1,1684,23.4,27338,37775,96807,12.1,53307,32.2,64876,35.1,128585,8.1,68859,10.0,162261,2.4,103540,160070,32904,86.2,35480,6.1,19702,0.5,N,2.5,24696,0.0,N,1.2,15133,3.5,7221,4.9,14130,83.5,36072,30.2,32.3,25.2
471,"Richmond County, New York",164289,95481,74.5,103286,18.4,17800,32.2,20033,5.0,9826,4.9,3061,20.3,34508,121766,110238,16.9,42746,31.9,85222,26.0,151759,10.7,116440,9.4,182313,5.3,131897,476015,33559,74.1,35699,10.3,24200,0.1,N,8.6,37412,0.2,N,4.7,20668,2.2,19043,18.4,21660,61.5,38450,49.2,50.8,36.0
472,"Rockland County, New York",99257,116116,81.8,115186,25.0,17940,32.5,22484,4.1,9496,2.0,5163,23.7,33916,72925,129729,10.5,64661,32.6,95365,29.6,162785,9.6,110317,13.3,196530,4.5,157065,326780,37038,69.1,39252,12.3,32239,0.2,60586,6.0,51702,0.0,N,10.4,22422,1.9,18344,17.6,21847,62.5,40918,42.0,41.6,31.4
473,"St. Lawrence County, New York",40479,64088,69.1,64556,22.4,11564,41.0,19011,8.9,8715,7.5,2567,30.7,21280,26548,71713,19.6,46118,37.7,57607,26.0,101769,7.3,60811,7.0,115376,2.5,82337,110038,24212,93.5,25111,2.7,3948,0.4,18239,1.4,20553,0.0,N,0.4,N,1.7,11804,2.8,7037,92.0,25412,32.1,32.5,28.4
474,"Saratoga County, New York",93703,99966,79.5,99995,26.1,21276,30.2,21031,3.3,9870,1.6,3956,22.4,30035,60786,118985,13.8,78758,28.4,93754,36.4,147982,8.5,103959,10.3,149870,2.7,129041,227053,41368,93.2,41428,1.2,27121,0.2,N,3.0,56382,0.0,N,0.4,27356,2.0,29037,3.1,25248,90.7,41867,29.2,27.5,21.7
475,"Schenectady County, New York",48720,75564,76.0,74342,24.2,13256,33.4,18626,6.2,8573,4.9,2969,24.4,30420,28959,92631,14.0,58135,33.7,75081,32.4,115737,8.4,89189,8.6,129366,2.8,105761,154553,28485,77.3,31586,9.4,17021,0.2,N,4.4,27380,0.1,N,4.6,13458,4.0,14824,6.9,15108,72.5,32471,28.2,25.3,24.6
476,"Steuben County, New York",38458,69894,74.5,70259,23.9,9806,35.1,19479,6.2,9607,2.0,3819,25.7,21540,25434,74981,18.9,51673,34.1,64131,28.5,101734,9.3,61395,6.3,113778,2.9,50659,96940,28395,94.4,28293,1.9,18007,0.1,N,1.3,60875,0.0,N,0.5,N,1.7,22602,1.7,16243,93.5,28412,29.8,30.9,23.6
477,"Suffolk County, New York",474311,118609,79.9,119087,24.6,24496,35.3,21798,4.0,10858,1.7,3323,22.8,34618,349115,133523,12.7,71258,27.9,105850,30.1,170396,11.1,118817,12.8,172838,5.4,155524,1492583,40253,80.1,43689,7.4,26862,0.2,16243,3.9,40208,0.1,33148,6.2,18805,2.0,22192,19.0,22431,68.0,47089,44.7,46.7,35.9
478,"Sullivan County, New York",25031,76471,67.5,82569,22.0,19987,42.1,18260,5.8,10225,0.7,557,25.5,24582,16346,92383,N,N,N,N,N,N,N,N,N,N,N,N,74801,27870,80.9,31455,7.6,13696,0.1,N,1.6,24503,0.0,N,5.8,7875,4.0,12972,15.7,12022,71.3,34050,42.1,44.0,35.9
479,"Tompkins County, New York",37683,73644,77.5,72978,32.0,12209,25.1,21694,3.5,11227,2.8,4096,21.1,28597,20315,96948,N,N,N,N,N,N,N,N,N,N,N,N,104871,28013,79.5,30839,4.5,7152,0.3,N,10.1,23674,0.0,N,1.6,14496,4.0,13317,5.0,17874,76.8,31173,27.0,27.2,33.3
480,"Ulster County, New York",68298,82176,76.4,82987,27.5,14803,36.7,19707,3.9,10533,3.9,4835,22.9,23802,41957,100833,15.4,44953,32.1,80415,30.4,137485,11.2,87223,8.9,166417,2.0,88528,179225,33190,84.8,35774,6.1,16839,0.1,N,2.2,34883,0.0,N,2.9,12345,3.9,17155,10.1,16433,79.5,36800,37.9,37.4,28.8
481,"Warren County, New York",28841,75717,73.4,72859,26.6,21132,39.0,18936,5.2,13603,2.0,3722,26.8,27228,17013,91408,N,N,N,N,N,N,N,N,N,N,N,N,64567,34098,96.2,34364,1.1,20126,0.1,N,0.9,N,0.1,N,0.2,N,1.3,13076,2.4,16833,94.1,34780,33.0,33.8,24.9
