Geography,Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Margin of Error; Percent high school graduate or higher,Percent Males; Margin of Error; Percent bachelor's degree or higher,Percent Females; Margin of Error; Population 45 to 64 years - High school graduate or higher,Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Estimate; Total
"Sutter County, California",2.5,5.1,3.6,3.0,6.0,3.3,2.4,2.8,3.2,96651
"Tulare County, California",1.1,5.1,2.1,1.4,3.3,2.2,3.5,4.1,2.3,460437
"Ventura County, California",1.0,12.7,1.0,1.2,1.5,1.4,3.5,3.8,0.9,849738
"Yolo County, California",2.9,20.0,2.0,3.0,2.8,4.5,5.7,4.9,1.7,215802
"Yuba County, California",3.7,6.3,4.1,4.0,8.0,2.8,2.7,3.8,3.9,75275
"Adams County, Colorado",1.4,7.8,1.5,1.5,2.4,1.7,3.5,4.7,2.1,498187
"Arapahoe County, Colorado",1.4,15.0,0.9,1.5,1.3,1.6,3.5,3.7,0.9,637068
"Boulder County, Colorado",2.3,27.1,1.1,2.2,1.5,3.1,4.7,6.1,1.5,322226
"Broomfield County, Colorado",4.6,19.5,2.3,4.6,2.4,3.9,3.5,3.7,3.2,66529
"Denver County, Colorado",1.5,19.3,1.2,1.5,2.2,2.2,3.8,3.9,0.9,693060
"Douglas County, Colorado",2.4,20.6,0.5,2.5,0.3,1.9,2.4,2.6,0.8,328632
"El Paso County, Colorado",1.7,14.2,0.8,1.7,1.1,2.0,4.0,4.7,1.2,688284
"Jefferson County, Colorado",1.5,16.2,0.8,1.6,1.1,1.6,3.3,4.1,1.1,571837
"Larimer County, Colorado",1.9,18.9,0.9,2.3,1.3,2.6,4.5,5.0,2.0,339993
"Mesa County, Colorado",2.3,8.4,2.2,3.1,2.3,3.7,3.0,2.8,1.6,150083
"Pueblo County, Colorado",1.8,8.6,1.9,2.0,2.9,3.2,9.0,10.0,4.2,165123
"Weld County, Colorado",1.7,8.9,1.7,1.9,2.1,2.4,2.5,3.2,1.2,294932
"Fairfield County, Connecticut",1.2,18.8,0.8,1.2,1.0,1.9,3.1,3.8,0.8,944177
"Hartford County, Connecticut",1.0,15.7,0.9,1.2,1.3,1.4,3.3,3.3,0.8,892389
"Litchfield County, Connecticut",2.5,15.8,1.6,2.8,2.2,2.3,4.0,4.5,1.9,182571
"Middlesex County, Connecticut",2.7,13.8,1.6,3.3,1.1,2.7,2.0,2.6,1.8,163329
"New Haven County, Connecticut",1.2,17.8,0.9,1.4,1.2,1.7,4.0,4.2,0.8,856875
"New London County, Connecticut",2.1,14.5,1.4,2.4,2.2,1.8,3.2,3.4,1.5,269801
"Tolland County, Connecticut",2.9,18.4,1.3,3.5,1.7,4.3,3.6,5.1,3.0,151118
"Windham County, Connecticut",2.3,11.8,2.3,2.8,3.8,5.6,3.8,5.1,2.8,116192
"Kent County, Delaware",2.6,8.2,2.2,3.0,3.1,3.3,2.9,3.1,2.5,174827
"New Castle County, Delaware",1.6,14.6,1.1,1.6,1.3,2.0,3.5,3.9,1.1,556987
"Sussex County, Delaware",1.9,9.9,1.8,2.3,2.2,2.8,2.8,3.2,1.5,220251
"District of Columbia, District of Columbia",1.5,32.7,1.0,1.4,2.1,2.5,6.3,6.5,1.3,681170
"Alachua County, Florida",2.7,20.4,1.7,3.1,3.7,5.4,8.9,8.1,2.4,263496
"Bay County, Florida",2.4,7.4,1.9,2.8,2.9,3.6,4.5,3.8,2.5,183974
"Brevard County, Florida",1.6,10.0,1.1,1.8,1.5,1.7,5.7,5.9,2.1,579130
"Broward County, Florida",0.9,11.7,0.7,1.0,1.2,1.8,6.3,6.7,1.1,1909632
"Charlotte County, Florida",2.1,7.0,1.9,2.3,2.2,3.8,6.2,3.4,1.8,178465
"Citrus County, Florida",2.4,8.4,2.3,2.3,3.3,4.3,3.5,4.7,4.3,143621
"Clay County, Florida",2.6,6.5,1.8,3.3,2.7,3.9,2.8,4.6,4.5,208311
"Collier County, Florida",1.9,13.3,1.9,2.1,3.1,2.3,4.8,4.9,1.6,365136
"Columbia County, Florida",3.0,5.5,3.3,3.4,6.1,2.7,2.6,4.5,4.8,69299
"Duval County, Florida",1.4,9.5,0.9,1.7,1.6,2.0,5.4,6.0,1.5,926255
"Escambia County, Florida",2.1,8.8,1.5,2.2,2.5,3.4,3.0,2.9,1.4,315187
"Flagler County, Florida",2.6,10.7,2.1,3.4,3.3,5.3,5.8,7.3,4.9,108310
"Hernando County, Florida",1.9,6.7,2.0,2.0,3.0,3.3,7.5,7.4,4.6,182835
"Highlands County, Florida",2.5,4.4,3.0,2.9,4.2,8.8,5.7,6.3,6.9,100917
"Hillsborough County, Florida",1.0,11.2,0.8,1.1,1.0,1.2,5.0,5.6,1.0,1376238
"Indian River County, Florida",3.5,9.4,3.3,3.8,4.1,5.1,4.7,3.7,2.2,151563
"Lake County, Florida",1.8,9.1,1.3,2.1,2.6,1.9,4.7,4.9,2.0,335396
"Lee County, Florida",1.3,9.2,1.2,1.5,1.9,2.1,5.7,6.7,1.6,722336
"Leon County, Florida",2.3,18.9,1.2,2.7,1.7,3.5,4.8,4.4,1.8,287822
"Manatee County, Florida",2.1,10.7,1.5,2.3,2.6,1.9,3.9,4.1,1.5,375888
"Marion County, Florida",1.8,5.5,1.5,2.3,2.6,4.1,5.1,5.8,2.8,349020
"Martin County, Florida",2.4,10.7,2.2,2.8,2.9,4.1,4.8,6.8,4.1,158701
"Miami-Dade County, Florida",0.7,9.9,0.8,0.9,1.1,1.1,8.5,9.3,1.0,2712945
"Monroe County, Florida",4.1,11.3,2.7,4.6,3.1,5.2,5.0,4.3,2.7,79077
"Nassau County, Florida",4.3,10.6,2.5,5.2,2.2,5.6,5.7,3.5,2.9,80622
"Okaloosa County, Florida",2.3,9.2,2.0,2.6,1.8,2.8,2.7,3.7,2.4,201170
"Orange County, Florida",1.4,11.0,0.9,1.4,1.4,1.5,6.9,7.2,1.4,1314367
"Osceola County, Florida",2.0,5.7,2.1,2.6,2.8,2.8,7.4,7.7,3.4,336015
"Palm Beach County, Florida",1.1,12.2,0.7,1.2,1.4,1.0,5.1,6.0,0.9,1443810
"Pasco County, Florida",1.4,7.5,1.0,1.7,1.5,2.6,4.8,5.0,1.6,512368
"Pinellas County, Florida",1.2,9.4,0.7,1.5,1.1,1.4,4.9,6.3,1.3,960730
"Polk County, Florida",1.5,6.9,1.3,1.8,2.4,2.4,4.7,4.9,1.7,666149
"Putnam County, Florida",2.9,6.1,3.8,3.6,5.8,6.6,8.4,9.9,7.1,72277
"St. Johns County, Florida",3.6,14.0,1.5,3.8,2.9,1.8,3.4,2.9,1.5,235087
"St. Lucie County, Florida",2.4,7.4,2.0,2.7,3.0,3.3,9.9,11.6,4.4,306507
"Santa Rosa County, Florida",2.9,8.6,3.0,3.4,4.1,2.7,1.9,2.1,1.9,170497
