Geography,Estimate; Total:,Margin of Error; Total:,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"St. Louis County, Minnesota",199980,*****,149,4131,774
"Scott County, Minnesota",143680,*****,261,5087,1511
"Sherburne County, Minnesota",93528,*****,42,2143,757
"Stearns County, Minnesota",155652,*****,390,2055,906
"Washington County, Minnesota",253117,*****,1551,6333,1635
"Wright County, Minnesota",132550,*****,532,1486,861
"DeSoto County, Mississippi",175611,*****,304,2485,1295
"Harrison County, Mississippi",203234,*****,610,5208,2042
"Hinds County, Mississippi",241229,*****,213,1129,549
"Jackson County, Mississippi",141241,*****,396,1889,1144
"Lee County, Mississippi",85381,*****,221,1390,919
"Madison County, Mississippi",105114,*****,213,1007,831
"Rankin County, Mississippi",150228,*****,213,965,508
"Boone County, Missouri",176594,*****,259,4853,1698
"Buchanan County, Missouri",88938,*****,310,3112,1260
"Cape Girardeau County, Missouri",78913,*****,187,2199,1261
"Cass County, Missouri",102845,*****,268,3692,761
"Clay County, Missouri",239085,*****,549,5626,1206
"Cole County, Missouri",76631,*****,92,1846,1025
"Franklin County, Missouri",102838,*****,136,1330,652
"Greene County, Missouri",288690,*****,551,6807,1491
"Jackson County, Missouri",691801,*****,1143,20877,4197
"Jasper County, Missouri",119111,*****,265,2441,1078
"Jefferson County, Missouri",224226,*****,588,2895,1062
"Platte County, Missouri",98309,*****,340,2626,791
"St. Charles County, Missouri",390918,*****,124,8710,2353
"St. Louis County, Missouri",998581,*****,804,24206,3774
"St. Louis city, Missouri",311404,*****,136,6174,1748
"Cascade County, Montana",81755,*****,168,3313,1014
"Flathead County, Montana",98082,*****,187,2948,842
"Gallatin County, Montana",104502,*****,55,2195,765
"Lewis and Clark County, Montana",67282,*****,168,2009,718
"Missoula County, Montana",116130,*****,437,3077,1145
"Yellowstone County, Montana",158437,*****,273,4992,1563
"Douglas County, Nebraska",554995,*****,579,15525,2170
"Lancaster County, Nebraska",309637,*****,625,9548,3092
"Sarpy County, Nebraska",179023,*****,127,5698,1045
"Clark County, Nevada",2155664,*****,3427,92321,7763
"Washoe County, Nevada",453616,*****,2651,17107,3377
"Cheshire County, New Hampshire",75774,*****,160,1143,458
"Grafton County, New Hampshire",88888,*****,57,1588,724
"Hillsborough County, New Hampshire",407761,*****,477,9054,1843
"Merrimack County, New Hampshire",148582,*****,218,3676,982
"Rockingham County, New Hampshire",303251,*****,516,4921,1018
"Strafford County, New Hampshire",127428,*****,641,2403,615
"Atlantic County, New Jersey",270991,*****,1630,4878,1745
"Bergen County, New Jersey",939151,*****,1597,23010,3942
"Burlington County, New Jersey",449284,*****,1058,14953,2250
"Camden County, New Jersey",510150,*****,873,12373,2847
"Cape May County, New Jersey",94430,*****,79,2593,1491
"Cumberland County, New Jersey",153797,*****,1215,4974,1637
"Essex County, New Jersey",796914,*****,1146,17581,4401
"Gloucester County, New Jersey",292330,*****,1371,6453,1826
"Hudson County, New Jersey",677983,*****,3208,15631,2725
"Hunterdon County, New Jersey",124676,*****,682,1064,596
"Mercer County, New Jersey",371023,*****,751,6563,1783
"Middlesex County, New Jersey",837073,*****,2098,14095,2900
"Monmouth County, New Jersey",625846,*****,979,8630,1700
"Morris County, New Jersey",498423,*****,777,8046,1824
"Ocean County, New Jersey",592497,*****,1028,7201,1796
"Passaic County, New Jersey",507945,*****,1310,10368,2559
"Salem County, New Jersey",63436,*****,269,1838,1048
"Somerset County, New Jersey",333751,*****,952,5623,1622
"Sussex County, New Jersey",142522,*****,180,2115,678
"Union County, New Jersey",555630,*****,1943,10584,2093
"Warren County, New Jersey",106617,*****,166,1477,639
"Bernalillo County, New Mexico",676953,*****,2481,13957,2836
"Chaves County, New Mexico",65282,*****,622,79,167
"Doña Ana County, New Mexico",214207,*****,385,1802,767
"Lea County, New Mexico",69749,*****,244,1479,836
"McKinley County, New Mexico",74923,*****,428,570,425
"Otero County, New Mexico",65410,*****,449,2472,1561
"Sandoval County, New Mexico",142025,*****,1258,5113,1324
"San Juan County, New Mexico",115079,*****,388,2709,1139
"Santa Fe County, New Mexico",148651,*****,993,2166,871
"Valencia County, New Mexico",75626,*****,775,1361,723
"Albany County, New York",308846,*****,991,10586,2291
"Bronx County, New York",1455720,*****,4683,34105,5554
"Broome County, New York",195334,*****,740,6396,1585
"Cattaraugus County, New York",77677,*****,361,1122,379
"Cayuga County, New York",77861,*****,255,1611,571
"Chautauqua County, New York",129504,*****,664,2034,610
"Chemung County, New York",86322,*****,160,3012,970
"Clinton County, New York",81073,*****,168,1074,475
"Dutchess County, New York",294473,*****,717,7537,2373
"Erie County, New York",921046,*****,1667,17692,2714
"Jefferson County, New York",114006,*****,575,3792,1023
"Kings County, New York",2629150,*****,2845,65872,5955
"Livingston County, New York",64257,*****,18,814,394
"Madison County, New York",71329,*****,463,872,344
"Monroe County, New York",747727,*****,1578,18315,3273
"Nassau County, New York",1361500,*****,2910,30351,4920
"New York County, New York",1643734,*****,6206,54918,7299
"Niagara County, New York",211758,*****,446,6313,1517
"Oneida County, New York",231190,*****,400,6791,1651
"Onondaga County, New York",466194,*****,295,16393,2427
"Ontario County, New York",109828,*****,301,1395,636
"Orange County, New York",379210,*****,1332,12624,2969
"Oswego County, New York",118987,*****,33,2156,457
"Putnam County, New York",98900,*****,300,1776,771
"Queens County, New York",2333054,*****,4754,54274,6079
"Rensselaer County, New York",160070,*****,235,5410,1192
"Richmond County, New York",476015,*****,872,8199,2208
"Rockland County, New York",326780,*****,668,5179,1545
"St. Lawrence County, New York",110038,*****,243,1576,599
"Saratoga County, New York",227053,*****,80,4496,1447
"Schenectady County, New York",154553,*****,880,5093,1662
"Steuben County, New York",96940,*****,284,1375,442
"Suffolk County, New York",1492583,*****,2110,21452,3380
"Sullivan County, New York",74801,*****,626,2489,1071
"Tompkins County, New York",104871,*****,284,3978,1046
"Ulster County, New York",179225,*****,613,6207,1921
"Warren County, New York",64567,*****,192,834,318
"Wayne County, New York",90798,*****,92,1869,495
"Westchester County, New York",974542,*****,3712,20156,3585
"Alamance County, North Carolina",159688,*****,459,2718,978
"Brunswick County, North Carolina",126953,*****,404,3023,2134
"Buncombe County, North Carolina",256088,*****,247,5295,1603
"Burke County, North Carolina",88851,*****,203,1023,698
"Cabarrus County, North Carolina",201590,*****,1138,5018,1609
"Caldwell County, North Carolina",81449,*****,367,1098,914
"Carteret County, North Carolina",68890,*****,70,2044,561
"Catawba County, North Carolina",156459,*****,141,2450,1140
"Chatham County, North Carolina",72243,*****,214,2545,1053
"Cleveland County, North Carolina",97144,*****,146,658,392
"Craven County, North Carolina",103445,*****,203,4174,2364
"Cumberland County, North Carolina",327127,*****,911,17046,2672
"Davidson County, North Carolina",164926,*****,203,4421,1585
"Durham County, North Carolina",306212,*****,530,7454,1962
"Forsyth County, North Carolina",371511,*****,734,7758,2261
"Gaston County, North Carolina",216965,*****,388,4215,1808
"Guilford County, North Carolina",521330,*****,961,10700,2807
"Harnett County, North Carolina",130881,*****,511,4909,1335
"Henderson County, North Carolina",114209,*****,203,825,474
"Iredell County, North Carolina",172916,*****,368,1867,816
"Johnston County, North Carolina",191450,*****,605,4883,1582
"Lincoln County, North Carolina",81168,*****,576,977,702
"Mecklenburg County, North Carolina",1054835,*****,1037,24054,3256
"Moore County, North Carolina",95776,*****,257,1244,1159
"Nash County, North Carolina",94005,*****,282,1412,1019
"New Hanover County, North Carolina",223483,*****,230,6187,1804
"Onslow County, North Carolina",187136,*****,1949,13750,2530
"Orange County, North Carolina",141796,*****,717,5444,1802
"Pitt County, North Carolina",177220,*****,291,4237,1714
"Randolph County, North Carolina",143416,*****,434,2367,796
"Robeson County, North Carolina",133235,*****,243,2011,965
"Rockingham County, North Carolina",91393,*****,59,2268,1258
"Rowan County, North Carolina",139933,*****,260,2526,932
"Rutherford County, North Carolina",66421,*****,203,948,795
"Surry County, North Carolina",72113,*****,203,1046,679
"Union County, North Carolina",226606,*****,186,4954,1466
"Wake County, North Carolina",1046791,*****,1249,28048,4232
"Wayne County, North Carolina",124150,*****,68,4350,1585
"Wilkes County, North Carolina",68740,*****,82,1364,630
"Wilson County, North Carolina",81661,*****,121,2025,939
