Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"Lancaster County, Nebraska",7.3,6.2,61.8,14.6,2.3,3.0,19.6,23.2,94.8,37.2,43.3,94.8,35.0,51.8,40.5,93.9,41.5,32.3,96.7,39.6,44.2,84.1,47.2,46.9,N,69.1,7.7,38.9,16.6,33.7,7.7,6.4,4.9,84.2,24.8,2.9,7.5,1.6,86.5,4,3.4,81.7,27.7,27.6
"Sarpy County, Nebraska",9.3,8.8,48.6,6.3,1.5,4.1,21.9,24.7,94.5,39.1,39.8,97.4,39.9,52.7,36.2,90.3,31.7,20.4,95.4,40.6,42.0,87.2,56.7,35.3,N,N,N,55.2,24.6,15.4,3.9,3.0,1.1,86.1,23.8,0.7,9.1,2.1,88.8,2.7,3.2,81.4,26.1,25.9
"Clark County, Nevada",17.4,15.8,44.6,5.4,6.4,7.9,28.6,15.1,85.6,22.7,23.9,88.1,17.8,27.3,23.0,84.7,29.3,20.9,93.5,28.4,27.5,90.7,36.3,38.7,89.6,58.9,7.5,23.2,8.4,10.9,12.0,9.8,7.0,78.6,29.1,2.8,12,3.6,61.7,9.8,5.2,43.4,37.5,39.0
"Washoe County, Nevada",14.2,13.3,50.2,7.9,5.8,6.4,22.9,16.1,87.7,27.7,30.6,88.2,20.5,32.8,29.1,88.6,41.5,29.2,94.5,32.5,34.3,89.6,48.9,36.9,N,55.9,1.7,26.5,7.7,15.3,11.5,9.4,3.1,77.7,29.9,3.5,7.7,3.3,78.3,5.6,4.4,63.4,32.2,33.0
"Cheshire County, New Hampshire",8.2,6.9,71.8,11.0,2.0,3.8,29.3,16.6,94.2,29.9,36.1,97.0,19.7,27.6,40.9,90.0,36.3,27.6,94.4,29.8,36.6,N,N,N,N,N,N,N,N,N,6.4,8.6,0.0,76.4,38.6,2.2,6.4,1.8,95.5,1.5,1.9,94.4,28.1,26.3
"Grafton County, New Hampshire",7.7,9.5,40.4,14.2,1.4,3.9,23.8,19.1,94.6,42.0,45.2,97.7,56.8,55.1,40.5,92.3,45.2,44.4,95.0,40.4,43.0,N,N,N,N,N,N,N,N,N,10.6,4.3,6.7,74.6,38.6,3.0,6.5,1,92.6,3.9,1.8,91,30.7,31.2
"Hillsborough County, New Hampshire",13.3,11.0,33.5,17.2,2.5,4.7,25.2,24.8,92.8,37.5,37.1,93.5,40.9,44.7,35.6,85.9,36.2,27.5,94.0,37.4,38.0,88,53,55.6,N,91.5,59.4,27.9,25.1,18.5,7.3,4.9,4.4,82.1,29.9,2.0,10.3,2.5,90.1,3.6,2.4,85.2,29.4,30.1
"Merrimack County, New Hampshire",6.7,5.2,54.7,11.7,0.9,3.6,23.5,19.1,95.6,34.2,37.3,95.2,27.9,51.8,31.6,95.2,43.7,29.3,95.8,33.9,37.0,N,N,N,N,N,N,N,N,N,10.6,5.2,2.1,80.4,34.4,3.5,9.4,2.6,94.7,1.7,2.6,93,33.5,32.3
"Rockingham County, New Hampshire",14.9,12.4,34.9,20.9,1.8,2.3,25.7,25.7,95.9,40.1,40.5,97.6,43.5,53.7,38.9,90.3,39.7,28.4,96.2,40.0,40.3,N,46,51.5,N,N,N,N,49.3,42.7,4.4,1.9,2.1,83.4,31.5,1.0,10.6,3,95,1.9,1.8,93,31.8,32.1
"Strafford County, New Hampshire",2.8,2.4,60.7,12.4,0.6,4.1,27.8,21.9,95.2,36.5,33.5,97.0,44.3,43.7,30.4,89.5,36.3,22.4,95.2,36.5,33.1,N,N,N,N,N,N,N,41.4,45.5,2.4,0.7,5.3,83.5,29.0,2.7,9,2.1,93.3,3.2,2.3,91.3,29.9,28.4
"Atlantic County, New Jersey",16.7,17.2,47.7,9.3,4.7,6.9,32.3,17.4,88.5,25.8,29.2,95.3,18.6,38.0,32.5,82.7,30.2,18.7,94.9,32.3,34.3,85.7,38.3,43.4,N,71.2,3.5,27.3,6.3,13.3,12.8,8.2,3.8,76.0,35.9,2.6,11.9,4,65.3,8.3,3,56.2,39.0,39.9
"Bergen County, New Jersey",9.0,7.5,44.0,24.8,4.2,3.9,22.9,30.4,91.9,50.4,48.1,96.2,50.9,61.6,49.6,83.0,44.3,28.2,93.9,53.2,49.1,92.3,74.8,65.5,N,75.9,16.8,49.9,22.2,30.9,7.0,4.5,3.9,82.4,30.1,1.4,10.1,3.9,72.3,16.3,3,57,39.5,41.2
"Burlington County, New Jersey",11.3,11.5,42.0,14.2,2.1,4.4,27.1,21.8,93.5,35.6,38.6,97.0,38.4,48.5,39.1,86.9,33.1,23.1,94.5,37.2,38.9,93.2,67.6,57.7,N,69.2,10.7,31,16.3,32.7,5.1,4.3,1.6,80.5,33.0,1.5,10.3,3.2,71.9,5.3,3.9,67.7,32.0,33.0
"Camden County, New Jersey",13.7,15.1,43.1,15.4,4.3,6.0,29.5,19.1,89.8,30.3,32.4,92.9,32.7,40.1,31.1,83.7,31.9,21.7,93.6,35.9,36.7,89.4,53.1,47.6,N,59.1,3.7,31.5,11.5,18,9.3,6.3,4.6,78.9,32.9,2.7,13,3.8,63.6,5.8,2.8,57.2,36.6,39.0
"Cape May County, New Jersey",13.3,11.3,54.9,11.9,2.1,6.0,31.8,19.8,91.9,31.6,31.5,95.9,31.5,42.5,32.9,85.4,37.2,23.6,93.3,34.0,33.9,84.3,N,N,N,N,N,N,9.1,10.7,10.1,4.5,4.0,69.0,45.4,1.4,7.9,2,92,0.9,2.8,85.2,36.9,37.8
"Cumberland County, New Jersey",21.0,20.1,26.5,8.2,9.2,10.8,34.9,7.0,80.0,10.7,17.1,83.3,9.0,20.2,19.3,69.6,16.4,12.4,87.8,15.5,22.0,77.6,N,N,N,63.6,2.6,4.8,3.4,9.6,13.5,6.3,10.5,72.9,36.1,4.8,15.3,3.6,67.4,1.5,4.5,46.8,33.4,32.1
"Essex County, New Jersey",14.0,11.6,49.9,12.2,6.9,6.6,27.1,20.1,86.5,33.7,34.5,93.4,32.6,35.3,35.4,76.4,34.5,25.2,93.0,55.1,53.4,85.8,66.3,67.7,N,66.9,9,27.7,18.3,21.3,17.5,9.8,6.3,78.2,26.5,2.8,13,4.5,44.6,5.3,2.7,31.1,40.5,41.7
"Gloucester County, New Jersey",4.7,7.3,45.4,13.8,2.8,4.4,33.3,19.0,92.7,28.5,33.3,95.3,27.6,48.4,33.2,88.7,25.6,16.6,93.7,29.1,33.5,90.8,43.8,51.6,N,73.5,5.6,36.8,13.3,25.9,5.9,4.4,3.7,79.3,33.2,2.8,12.3,4.1,81.3,3.1,3.3,78.9,34.8,36.7
"Hudson County, New Jersey",8.8,7.8,43.3,20.8,10.3,5.8,26.1,24.6,83.9,40.4,40.9,95.7,58.5,61.1,29.9,64.0,24.9,20.7,92.1,56.5,59.0,85.2,75,70.2,N,69,8.7,42.1,14.7,18.4,13.4,10.5,5.8,83.5,21.9,3.0,14.7,4.9,54.3,15.1,3.9,28.5,40.1,41.3
"Hunterdon County, New Jersey",23.1,12.6,31.6,24.1,2.2,2.5,21.7,29.6,95.3,53.3,51.8,97.4,52.7,56.4,55.8,90.3,53.7,32.9,96.6,53.4,52.7,N,75.9,62.4,N,N,N,N,31,25.9,9.2,0.7,1.7,82.5,28.9,1.1,6.7,1.9,90.8,3.8,1.5,85.9,28.2,28.6
"Mercer County, New Jersey",13.6,11.2,45.9,14.8,4.5,4.9,25.7,20.9,90.6,43.1,42.3,90.8,38.9,45.8,45.7,83.5,46.7,26.2,95.4,51.5,48.4,83.3,89.6,85.5,N,78.4,18.2,23.2,9.7,16.2,10.4,5.6,3.7,79.0,30.4,2.7,10.2,3.8,64.4,11,2,50.3,39.0,40.0
"Middlesex County, New Jersey",7.6,6.5,60.1,13.3,5.6,4.6,26.1,24.8,89.8,42.4,41.9,93.7,46.0,57.5,37.4,82.5,38.2,25.8,93.6,38.5,37.9,93.7,74.1,67.9,N,78.6,19.7,39.7,14.9,21.1,7.7,6.7,3.9,82.2,28.4,1.7,10.7,4.5,58.6,24.3,2.6,43.6,36.5,36.6
"Monmouth County, New Jersey",10.5,9.3,41.8,20.5,3.4,3.7,25.3,27.4,92.8,44.9,43.3,95.3,45.7,54.6,43.8,89.5,43.8,28.7,95.8,48.5,45.6,84.7,65.5,62,N,63.9,7,43.9,16.4,23.8,7.8,5.2,3.7,79.3,33.9,1.3,11.4,4.3,82.2,5.7,1.7,75.1,38.6,40.2
"Morris County, New Jersey",8.7,8.4,43.4,24.8,3.7,2.9,20.2,30.6,93.4,54.1,52.4,96.6,49.1,65.9,53.9,88.7,54.8,34.1,96.1,56.8,55.1,89.4,76.4,70.3,N,78.3,7.6,55.5,23.7,24.1,7.0,4.8,2.6,83.8,29.7,1.0,9.3,4,80.7,10.6,1.9,71.2,33.0,33.1
"Ocean County, New Jersey",13.7,10.3,49.2,10.4,3.1,4.7,35.9,19.1,92.2,29.6,27.9,94.3,33.0,38.5,28.0,88.3,30.3,19.3,94.0,31.1,28.5,71,57,52.1,N,37,7.4,N,14.9,10.5,7.0,6.9,4.7,67.5,44.7,1.9,8.5,3.6,90.6,2,1.4,84.7,35.9,36.4
"Passaic County, New Jersey",12.5,13.8,41.7,13.1,9.9,8.1,32.2,19.2,82.0,28.1,27.7,90.1,26.5,35.8,29.8,71.1,29.2,17.2,90.8,41.8,41.0,82.5,60.4,50.4,N,65.1,7.4,24.9,12.2,11.9,12.0,8.4,5.2,80.4,27.8,2.2,13.6,5.4,65.7,5.2,2.7,41.2,44.8,45.5
"Salem County, New Jersey",29.2,40.2,35.1,8.3,2.4,8.4,36.6,11.7,89.2,16.4,20.8,100.0,11.1,28.9,18.4,82.2,14.9,15.3,91.4,18.1,22.7,72.4,N,N,N,N,N,N,8.5,24.2,12.6,2.8,2.7,69.7,40.7,3.5,8.8,2.3,79.3,1.2,3.3,74.8,37.6,39.8
"Somerset County, New Jersey",8.4,6.3,36.0,25.7,3.8,4.4,20.7,26.8,91.8,52.1,51.0,92.5,41.8,56.7,53.3,85.8,53.0,32.9,95.5,54.0,51.9,91.8,82.1,73.5,N,71.8,7.3,55.5,16.2,20.1,6.6,5.8,3.7,82.0,28.1,1.6,9.5,2.7,67.2,17.2,2.2,56.7,40.9,40.5
"Sussex County, New Jersey",14.1,13.8,40.0,13.3,1.2,3.7,31.1,22.6,95.1,33.1,34.8,98.8,33.3,47.1,32.9,89.8,34.0,26.1,94.9,33.6,34.2,75.9,N,N,N,N,N,N,21.8,31.1,5.7,9.2,1.8,82.7,31.5,1.5,11.6,2.3,92.9,2.3,1.6,86.8,33.9,35.4
"Union County, New Jersey",11.5,10.0,48.8,12.9,7.2,5.9,28.4,19.9,86.9,33.9,35.9,91.9,31.8,43.4,34.4,77.0,31.1,22.6,92.2,51.6,47.5,90.2,72,69,N,66.3,11,21.4,10.8,16.8,12.9,7.4,4.6,81.8,27.4,2.6,12.1,4.3,54.8,5,2.9,39,38.1,38.7
"Warren County, New Jersey",6.5,1.7,40.2,8.9,4.2,5.2,30.9,22.9,90.6,30.5,31.8,96.6,29.0,49.0,34.7,80.6,30.1,16.9,91.4,32.7,30.2,89.1,43.6,62.4,N,N,N,N,9.8,23.5,7.4,7.7,5.0,81.5,32.7,2.1,10.3,4.3,89.1,2.6,1.5,82.3,31.0,30.9
"Bernalillo County, New Mexico",15.7,14.7,53.9,9.1,4.2,7.1,22.4,18.7,88.6,34.1,33.2,90.9,29.0,32.7,35.3,86.1,41.4,29.2,96.2,47.6,46.7,92.2,48.3,41.3,N,77.3,14.7,37.7,20.7,19.3,14.5,10.1,6.6,75.9,31.9,3.1,10.1,3.1,70.8,2.7,3.5,39,30.6,32.5
"Chaves County, New Mexico",18.5,15.7,20.4,13.2,8.3,11.8,24.1,14.6,79.9,19.6,24.9,83.5,24.0,24.5,23.4,74.7,15.4,23.6,93.8,25.3,35.0,N,N,N,N,N,N,N,15.2,16.3,22.7,2.9,2.7,72.7,35.5,2.5,10.2,1.8,90.8,0.1,1.1,N,34.8,37.9
"Do?a Ana County, New Mexico",12.7,12.0,57.0,7.8,11.9,6.3,23.6,14.5,81.8,24.8,27.4,91.3,18.7,30.4,26.9,75.2,31.9,23.1,96.5,45.4,41.4,N,N,N,N,53.2,7.3,N,10.5,17.8,14.0,16.6,7.4,74.9,32.2,2.7,14.9,2,90.8,1.1,1.1,27.7,23.8,24.8
"Lea County, New Mexico",19.2,19.6,50.0,3.0,18.8,10.2,26.9,7.3,71.0,11.1,17.5,76.5,11.0,10.9,21.0,68.7,16.6,8.0,87.6,22.1,25.3,N,N,N,N,42.4,0,N,2.5,6.7,7.4,15.3,1.0,82.2,27.0,1.8,9.4,2,89.2,0,2.5,36.5,41.0,41.9
"McKinley County, New Mexico",25.8,17.5,40.9,1.9,11.0,16.2,32.0,6.0,72.8,8.9,10.5,91.0,3.5,7.2,11.8,51.2,10.6,10.8,82.8,36.2,40.0,N,N,N,N,N,N,N,10.1,13.5,28.4,22.4,5.9,69.8,26.2,4.0,12.3,5.7,13.8,1,1.2,8.4,53.5,56.8
"Otero County, New Mexico",30.7,9.7,41.6,0.8,5.2,7.2,29.8,8.7,87.6,16.6,19.5,96.9,10.1,25.0,21.1,81.0,21.8,13.4,92.4,22.8,25.2,N,N,N,N,N,N,N,6.7,9.2,7.6,14.5,7.4,73.2,38.0,3.5,6.3,2.4,77.7,1.5,4.5,49.3,29.5,31.3
"Sandoval County, New Mexico",23.1,24.3,41.8,4.7,2.1,7.2,21.0,19.1,90.8,29.6,33.6,92.0,17.3,31.0,30.0,90.0,38.1,35.9,96.1,45.4,45.5,N,N,N,N,44.4,5.6,31.2,13.7,21.6,19.3,11.0,6.2,74.7,34.3,1.5,8.1,3,70,1.5,5.4,44,32.7,34.3
"San Juan County, New Mexico",14.7,11.6,47.9,3.6,6.5,8.7,24.8,7.5,84.8,14.8,18.3,84.4,8.0,12.6,22.3,74.8,19.6,17.5,92.9,20.8,26.6,N,N,N,N,61.4,4.5,N,3.5,14.6,13.4,7.3,3.6,76.5,33.1,2.9,10.8,2.3,54.2,0.6,2.7,41.7,41.3,44.9
"Santa Fe County, New Mexico",21.6,14.5,52.2,2.5,4.9,4.3,21.9,21.5,90.8,41.8,41.6,97.0,26.8,42.4,41.6,90.3,60.7,42.0,98.3,61.0,60.6,N,N,N,N,60.8,8.9,49.5,18.8,18.2,11.5,12.0,4.6,73.7,37.0,1.4,8.5,2.3,84.8,1.3,2.8,42.8,35.4,37.6
"Valencia County, New Mexico",24.6,14.3,31.1,2.8,4.5,10.9,31.9,11.4,84.6,17.0,18.6,77.6,5.8,23.9,17.9,87.4,31.1,18.0,93.7,23.3,23.5,N,N,N,N,63.7,15.2,N,12.8,14.8,13.9,5.8,2.9,71.4,39.5,4.6,7.6,2.6,80.1,0.4,3.7,33.3,35.6,34.9
"Albany County, New York",7.1,7.4,41.4,22.6,2.8,6.4,21.3,21.9,90.8,41.7,43.5,92.6,45.2,52.6,41.6,87.5,42.8,31.8,94.1,44.6,47.1,81.8,62.2,62.3,N,53.8,10,49.7,17.9,34.4,12.9,9.4,5.1,77.9,31.2,2.5,10.5,3.4,74.7,6.8,4,72.1,32.2,33.2
"Bronx County, New York",22.0,17.9,47.7,7.6,13.7,13.8,26.4,10.5,72.6,16.0,20.3,83.9,15.9,26.9,19.3,56.3,13.0,11.6,86.0,34.0,37.0,75.6,42.2,37,N,62.9,9.3,26.3,9.8,13.9,17.0,17.6,10.8,75.4,26.1,7.5,17.2,6.3,21.5,3.6,4,9,42.5,44.9
"Broome County, New York",7.9,5.3,61.0,13.4,2.5,7.3,30.2,17.3,90.2,31.0,28.5,82.9,32.2,28.7,32.3,87.7,35.7,20.9,91.8,31.3,29.2,80.4,44.4,43,N,N,N,N,24.1,18.7,10.3,6.1,2.7,69.5,37.8,5.7,8.7,3.1,85.3,3.6,3.7,83.6,38.5,37.9
"Cattaraugus County, New York",13.1,14.3,43.2,2.5,3.1,7.5,37.2,10.0,89.4,17.8,19.8,94.5,19.0,26.7,17.3,84.2,18.0,14.2,90.4,17.9,20.5,N,N,N,N,N,N,N,N,N,8.7,8.3,4.6,70.1,38.0,2.7,8.5,0.6,91.8,0.7,2.2,90.7,26.8,26.6
"Cayuga County, New York",13.6,9.0,49.3,6.1,1.7,7.4,30.4,12.1,90.8,19.3,27.6,92.2,17.2,37.6,26.0,90.2,24.6,21.1,92.1,21.2,28.3,N,N,N,N,N,N,N,N,N,11.5,4.4,1.3,74.3,39.6,2.8,7.4,3.2,92.1,0.5,2.3,90.2,37.3,35.0
"Chautauqua County, New York",13.7,15.5,53.8,7.7,3.6,6.3,35.6,10.5,90.1,20.3,22.6,86.3,17.6,24.7,23.0,90.6,24.9,18.7,91.6,21.3,23.1,81.4,N,N,N,N,N,N,10.7,9.1,13.6,13.7,4.9,67.3,40.0,4.5,7.1,1.2,92.7,0.6,2,87.5,32.9,32.4
"Chemung County, New York",14.3,10.6,47.8,9.4,2.4,6.3,27.7,12.2,91.4,23.9,31.0,95.4,25.0,33.8,24.7,86.6,29.2,28.5,91.4,24.5,30.5,N,N,N,N,N,N,N,N,N,9.1,9.0,8.3,73.4,37.2,1.6,9,1.1,87.9,1.8,3.6,86.2,32.5,31.9
"Clinton County, New York",9.2,8.3,52.7,6.9,2.9,6.8,35.3,10.3,90.4,18.3,24.5,93.7,12.7,23.7,23.2,85.4,24.1,18.6,91.3,19.7,24.0,N,N,N,N,N,N,N,16,45.4,14.7,8.7,5.2,73.7,33.9,2.9,9.5,1.1,90.2,1.2,1.5,89.4,38.1,40.8
"Dutchess County, New York",14.4,12.3,45.2,11.7,2.4,6.9,24.6,19.8,90.6,33.5,36.0,90.5,32.3,36.2,38.3,82.9,36.7,25.9,92.5,36.7,37.5,72.8,57.1,71.8,N,70.8,12.4,29.1,22.8,22.5,10.3,5.2,3.0,79.0,34.2,2.4,8.7,4.1,79,3.6,3.1,71.3,37.8,38.2
"Erie County, New York",10.1,7.5,48.7,15.4,2.6,5.7,27.3,19.5,91.7,33.3,33.1,93.9,36.2,46.5,30.7,86.4,30.7,22.3,94.0,35.8,35.6,81.2,58.5,53,N,56,17.3,25.4,17.7,24.4,13.5,8.4,5.5,72.8,35.3,2.7,11.6,2.7,78.1,3.7,2.3,75.8,36.9,38.5
"Jefferson County, New York",8.3,9.1,52.9,6.4,3.1,4.8,32.6,12.0,92.1,17.1,24.2,98.3,13.4,33.6,19.8,85.5,28.6,18.9,92.0,18.6,23.5,80.9,N,N,N,N,N,N,4,21.1,18.0,6.0,4.6,77.7,31.3,4.0,7,2.3,86.5,1.8,3.9,82,27.9,25.6
"Kings County, New York",13.0,11.0,40.2,19.9,9.0,9.4,24.6,21.8,81.6,35.1,37.5,90.4,45.8,53.8,30.1,69.2,26.8,22.8,92.2,54.6,57.4,84.2,31.4,33.7,N,57.5,12.6,45,16.8,18.5,17.5,13.3,8.7,78.9,24.3,4.9,14.8,5.8,42.8,12,3,35.8,49.7,53.9
"Livingston County, New York",7.8,6.7,63.1,3.2,1.0,7.8,31.1,12.2,91.2,21.8,29.3,87.3,20.3,35.7,26.6,87.6,28.1,24.2,91.5,23.3,29.5,N,N,N,N,N,N,N,N,N,6.5,8.4,1.3,78.1,37.4,4.2,9.5,1.5,92.6,1.1,1.3,90.8,34.5,35.8
"Madison County, New York",8.6,5.2,50.6,6.3,2.4,5.6,33.0,15.4,92.0,27.4,30.9,86.5,17.5,40.8,30.5,87.5,28.0,21.4,92.1,27.6,31.3,N,N,N,N,N,N,N,N,N,10.8,4.3,2.0,74.0,35.6,3.0,6.5,1,94.6,1,1.8,93.1,48.0,48.0
"Monroe County, New York",10.7,8.9,50.4,16.4,3.2,6.4,22.5,21.9,90.4,37.6,37.2,92.1,39.5,46.4,36.7,85.6,38.0,27.2,94.2,42.8,42.8,74.2,44.2,47.2,N,69.2,21.9,33.5,13.8,16.5,13.7,9.2,4.4,74.6,33.3,3.8,10.9,2.8,76.3,3.5,2.9,70.7,34.7,35.6
"Nassau County, New York",8.4,7.7,46.6,22.6,4.9,3.5,23.7,25.8,91.6,44.6,45.3,92.2,45.8,57.3,46.4,85.6,42.6,28.9,95.4,49.6,48.5,91.4,65.1,62.9,N,65.9,14.8,35.4,20.2,24.9,4.5,3.6,2.4,80.6,35.0,1.3,10.8,5,68.1,9.4,3.1,60.5,45.4,45.9
"New York County, New York",8.4,8.3,41.5,33.9,7.9,5.0,12.8,30.9,87.1,60.6,60.3,95.0,70.8,77.8,52.6,73.8,50.9,40.7,98.0,83.2,83.2,79.3,64.7,63.8,N,65.6,18.7,39.9,25.2,25.1,22.2,14.8,6.9,79.3,23.4,3.0,9.9,3.2,56.7,12.4,4.6,46.8,32.5,38.5
"Niagara County, New York",8.4,4.4,46.0,13.4,2.2,5.2,32.6,15.5,92.6,24.5,24.2,93.7,29.4,29.3,22.8,84.8,26.1,16.8,92.7,25.8,24.6,74.3,N,N,N,N,N,18.4,28.6,22.5,9.1,6.8,3.7,71.9,37.5,3.1,10.6,2.7,87.4,1,3.2,85.7,33.2,33.1
"Oneida County, New York",15.2,9.0,45.9,8.4,4.1,6.3,31.2,14.9,89.6,24.1,29.0,91.9,22.9,36.0,25.2,88.0,28.4,23.4,93.3,25.9,30.0,62.9,31.2,26,N,N,N,18.6,6.5,19.1,8.6,6.8,5.0,70.0,38.7,3.5,8.6,1.7,85.6,4.2,3.2,82.2,43.3,44.5
"Onondaga County, New York",9.1,9.9,50.7,15.2,3.2,5.9,25.3,22.0,90.9,35.7,34.2,92.4,37.6,42.6,33.5,86.9,36.1,22.5,93.9,37.9,36.2,80.9,46.7,51.2,N,72.5,26.3,25.3,40,31.4,13.5,8.9,4.2,74.7,33.5,3.3,10.4,2.2,79.6,3.7,3.6,77,33.1,35.0
"Ontario County, New York",8.1,9.1,49.0,13.9,1.7,3.2,27.8,18.6,95.1,33.4,34.1,94.1,27.0,40.1,34.7,95.8,34.5,22.9,95.4,34.3,33.9,N,N,N,N,N,N,N,20.2,30.3,9.5,3.2,2.0,75.5,37.4,2.2,10.5,1.7,92.2,1.2,1.6,90.2,30.8,31.6
"Orange County, New York",14.4,13.2,41.3,10.6,3.8,6.5,27.3,16.2,89.7,26.7,31.1,90.7,22.1,32.5,31.2,82.6,30.1,24.1,91.4,29.0,32.9,92,58.1,44.6,N,71.6,10.3,32.7,13.3,25.6,10.0,3.8,3.0,79.4,31.7,2.1,8.5,3.1,73.5,2.8,4.2,64.7,48.1,47.4
"Oswego County, New York",9.3,9.4,61.9,7.0,2.8,8.2,36.9,9.0,89.0,15.0,20.4,93.5,10.7,27.6,16.7,83.7,16.6,18.8,89.0,15.2,20.2,N,N,N,N,N,N,N,N,N,8.7,4.9,2.8,73.7,37.4,4.2,7.4,1.4,95.7,0.6,1.8,94.2,33.6,35.6
"Putnam County, New York",12.1,10.5,19.8,18.6,3.3,1.1,23.4,24.4,95.7,40.9,45.8,97.0,34.3,45.6,49.7,96.7,36.8,29.1,97.8,45.2,48.0,N,N,N,N,56,7.4,N,14.3,21.8,6.2,5.4,3.0,80.7,34.7,2.0,11.4,5,86,2.2,2.2,79.5,39.2,40.2
"Queens County, New York",10.0,8.0,48.8,16.2,10.7,8.5,27.0,19.9,80.8,30.9,31.9,90.0,40.6,47.7,26.7,69.4,27.3,18.9,90.2,44.0,44.9,86.6,38.2,35.7,N,72.7,10.4,31.3,16.1,19.2,10.1,8.5,7.2,80.8,28.2,3.2,15.2,7.2,38.8,25.4,3.6,24.9,47.8,50.9
"Rensselaer County, New York",8.1,6.6,45.6,13.1,2.7,4.3,27.6,20.8,93.0,32.3,33.8,94.3,44.4,43.0,34.1,88.5,27.0,21.0,94.0,34.1,34.2,81.7,N,N,N,N,N,19.5,10,17.3,8.8,4.7,3.2,79.0,33.3,2.1,8.1,2.4,86.2,2.5,3.5,83.5,30.2,32.3
"Richmond County, New York",13.6,13.2,45.0,12.4,4.8,6.6,32.1,20.7,88.5,31.3,33.6,88.5,35.0,45.4,30.2,78.8,30.8,19.3,92.3,34.0,35.3,92.2,46.6,45.1,N,76,13.7,38.9,14.8,20.9,10.5,6.2,4.9,74.5,32.2,4.9,10.7,5.3,74.1,8.6,2.2,61.5,49.2,50.8
"Rockland County, New York",14.9,17.1,43.2,13.6,5.4,7.4,23.2,22.1,87.2,39.4,39.7,85.7,36.0,44.3,45.1,84.4,41.7,27.8,93.3,45.4,42.8,79.8,62.7,71.5,N,46,8.5,60.3,18.9,21.5,14.6,7.8,3.4,81.8,32.5,2.0,9.6,4.5,69.1,6,1.9,62.5,42.0,41.6
