Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Butler County, Kansas",67025,*****,1488,534
"Douglas County, Kansas",119440,*****,5324,1312
"Johnson County, Kansas",584451,*****,17415,2443
"Leavenworth County, Kansas",80204,*****,1639,734
"Riley County, Kansas",73343,*****,3048,1399
"Sedgwick County, Kansas",511995,*****,22507,3325
"Shawnee County, Kansas",178146,*****,5634,1616
"Wyandotte County, Kansas",163831,*****,6157,2135
"Boone County, Kentucky",128536,*****,3345,1761
"Campbell County, Kentucky",92211,*****,1071,336
"Christian County, Kentucky",72351,*****,1669,850
"Daviess County, Kentucky",99674,*****,1670,615
"Fayette County, Kentucky",318449,*****,8715,1904
"Hardin County, Kentucky",107316,*****,5182,1396
"Jefferson County, Kentucky",765352,*****,18632,2878
"Kenton County, Kentucky",164945,*****,4182,1085
"Madison County, Kentucky",89547,*****,1344,772
"Oldham County, Kentucky",65560,*****,1938,541
"Warren County, Kentucky",125532,*****,2019,1285
"Bossier Parish, Louisiana",126057,*****,2280,799
"Caddo Parish, Louisiana",248851,*****,3352,1324
"Calcasieu Parish, Louisiana",200601,*****,3975,1740
"East Baton Rouge Parish, Louisiana",447037,*****,7209,1604
"Iberia Parish, Louisiana",73273,*****,1800,1087
"Jefferson Parish, Louisiana",436523,*****,6548,1924
"Lafayette Parish, Louisiana",241398,*****,5081,2160
"Lafourche Parish, Louisiana",98305,*****,1581,754
"Orleans Parish, Louisiana",391495,*****,6859,1343
"Ouachita Parish, Louisiana",156983,*****,1363,750
"Rapides Parish, Louisiana",132424,*****,2522,921
"St. Tammany Parish, Louisiana",253602,*****,5705,2203
"Tangipahoa Parish, Louisiana",130710,*****,3659,1655
"Terrebonne Parish, Louisiana",113220,*****,1989,850
"Androscoggin County, Maine",107319,*****,3548,954
"Aroostook County, Maine",67959,*****,1282,369
"Cumberland County, Maine",292041,*****,6839,1770
"Kennebec County, Maine",120569,*****,1553,575
"Penobscot County, Maine",151806,*****,3621,697
"York County, Maine",202343,*****,1523,930
"Allegany County, Maryland",72130,*****,974,306
"Anne Arundel County, Maryland",568346,*****,23424,3724
"Baltimore County, Maryland",831026,*****,19256,3775
"Calvert County, Maryland",91251,*****,2733,1273
"Carroll County, Maryland",167656,*****,2605,893
"Cecil County, Maryland",102603,*****,2226,904
"Charles County, Maryland",157705,*****,8452,2950
"Frederick County, Maryland",247591,*****,5233,1368
"Harford County, Maryland",251032,*****,8809,1849
"Howard County, Maryland",317233,*****,11826,2429
"Montgomery County, Maryland",1043863,*****,37218,4968
"Prince George's County, Maryland",908049,*****,24139,4072
"Washington County, Maryland",150292,*****,4965,1336
"Wicomico County, Maryland",102577,*****,2747,1081
"Baltimore city, Maryland",614664,*****,13394,2864
"Barnstable County, Massachusetts",214276,*****,3725,1287
"Berkshire County, Massachusetts",126903,*****,2812,1147
"Bristol County, Massachusetts",558324,*****,9808,1829
"Essex County, Massachusetts",779018,*****,17679,3380
"Franklin County, Massachusetts",70382,*****,1958,616
"Hampden County, Massachusetts",468467,*****,10413,2880
"Hampshire County, Massachusetts",161816,*****,4797,1167
"Middlesex County, Massachusetts",1589774,*****,34442,3800
