266,"Daviess County, Kentucky",99674
267,"Fayette County, Kentucky",318449
268,"Hardin County, Kentucky",107316
269,"Jefferson County, Kentucky",765352
270,"Kenton County, Kentucky",164945
271,"McCracken County, Kentucky",65162
272,"Madison County, Kentucky",89547
273,"Oldham County, Kentucky",65560
274,"Warren County, Kentucky",125532
275,"Ascension Parish, Louisiana",121587
276,"Bossier Parish, Louisiana",126057
277,"Caddo Parish, Louisiana",248851
278,"Calcasieu Parish, Louisiana",200601
279,"East Baton Rouge Parish, Louisiana",447037
280,"Iberia Parish, Louisiana",73273
281,"Jefferson Parish, Louisiana",436523
282,"Lafayette Parish, Louisiana",241398
283,"Lafourche Parish, Louisiana",98305
284,"Livingston Parish, Louisiana",140138
285,"Orleans Parish, Louisiana",391495
286,"Ouachita Parish, Louisiana",156983
287,"Rapides Parish, Louisiana",132424
288,"St. Landry Parish, Louisiana",83883
289,"St. Tammany Parish, Louisiana",253602
290,"Tangipahoa Parish, Louisiana",130710
291,"Terrebonne Parish, Louisiana",113220
292,"Androscoggin County, Maine",107319
293,"Aroostook County, Maine",67959
294,"Cumberland County, Maine",292041
295,"Kennebec County, Maine",120569
296,"Penobscot County, Maine",151806
297,"York County, Maine",202343
298,"Allegany County, Maryland",72130
299,"Anne Arundel County, Maryland",568346
300,"Baltimore County, Maryland",831026
301,"Calvert County, Maryland",91251
302,"Carroll County, Maryland",167656
303,"Cecil County, Maryland",102603
304,"Charles County, Maryland",157705
305,"Frederick County, Maryland",247591
306,"Harford County, Maryland",251032
307,"Howard County, Maryland",317233
308,"Montgomery County, Maryland",1043863
309,"Prince George's County, Maryland",908049
310,"St. Mary's County, Maryland",112587
311,"Washington County, Maryland",150292
312,"Wicomico County, Maryland",102577
313,"Baltimore city, Maryland",614664
314,"Barnstable County, Massachusetts",214276
315,"Berkshire County, Massachusetts",126903
316,"Bristol County, Massachusetts",558324
317,"Essex County, Massachusetts",779018
318,"Franklin County, Massachusetts",70382
319,"Hampden County, Massachusetts",468467
320,"Hampshire County, Massachusetts",161816
321,"Middlesex County, Massachusetts",1589774
322,"Norfolk County, Massachusetts",697181
323,"Plymouth County, Massachusetts",513565
324,"Suffolk County, Massachusetts",784230
325,"Worcester County, Massachusetts",819589
326,"Allegan County, Michigan",115548
327,"Bay County, Michigan",104747
328,"Berrien County, Michigan",154010
329,"Calhoun County, Michigan",134386
330,"Clinton County, Michigan",77888
331,"Eaton County, Michigan",109160
332,"Genesee County, Michigan",408615
333,"Grand Traverse County, Michigan",92084
334,"Ingham County, Michigan",288051
335,"Isabella County, Michigan",71282
336,"Jackson County, Michigan",158460
337,"Kalamazoo County, Michigan",261654
338,"Kent County, Michigan",642173
339,"Lapeer County, Michigan",88340
340,"Lenawee County, Michigan",98504
341,"Livingston County, Michigan",188624
342,"Macomb County, Michigan",867730
343,"Marquette County, Michigan",66435
344,"Midland County, Michigan",83462
345,"Monroe County, Michigan",149208
346,"Muskegon County, Michigan",173408
347,"Oakland County, Michigan",1243970
348,"Ottawa County, Michigan",282250
349,"Saginaw County, Michigan",192326
350,"St. Clair County, Michigan",159587
351,"Shiawassee County, Michigan",68554
352,"Van Buren County, Michigan",75223
353,"Washtenaw County, Michigan",364709
354,"Wayne County, Michigan",1749366
355,"Anoka County, Minnesota",345957
356,"Blue Earth County, Minnesota",66441
357,"Carver County, Minnesota",100262
358,"Dakota County, Minnesota",417486
359,"Hennepin County, Minnesota",1232483
360,"Olmsted County, Minnesota",153102
361,"Ramsey County, Minnesota",540649
362,"Rice County, Minnesota",65622
363,"St. Louis County, Minnesota",199980
364,"Scott County, Minnesota",143680
