Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Lancaster County, South Carolina",76364,55773,18322,310,472,22,774,691,95,596
"Laurens County, South Carolina",66623,47630,16689,60,166,133,859,1086,87,999
"Lee County, South Carolina",19160,6322,12344,6,29,0,300,159,46,113
"Lexington County, South Carolina",262424,212467,37717,813,3533,126,2414,5354,642,4712
"McCormick County, South Carolina",10140,4953,4947,0,20,0,10,210,0,210
"Marion County, South Carolina",33038,13540,18711,43,122,0,346,276,21,255
"Marlboro County, South Carolina",28750,11905,14579,1039,85,23,259,860,139,721
"Newberry County, South Carolina",37432,23184,11036,11,145,0,2044,1012,26,986
"Oconee County, South Carolina",74038,65891,5569,136,343,0,757,1342,264,1078
"Orangeburg County, South Carolina",92229,31830,57573,518,826,0,796,686,51,635
"Pickens County, South Carolina",119167,105724,7643,426,1917,35,1338,2084,438,1646
"Richland County, South Carolina",384596,182806,176294,571,8794,345,7275,8511,765,7746
"Saluda County, South Carolina",19758,12700,5331,0,6,0,1524,197,6,191
"Spartanburg County, South Carolina",284540,208863,58556,685,5765,93,5693,4885,726,4159
"Sumter County, South Carolina",107279,52527,49957,252,1363,18,1330,1832,11,1821
"Union County, South Carolina",28804,19208,8886,33,39,0,66,572,62,510
"Williamsburg County, South Carolina",34361,10842,22814,45,39,0,269,352,100,252
"York County, South Carolina",226576,172103,42450,1574,3138,41,2001,5269,357,4912
"Aurora County, South Dakota",2726,2579,60,30,17,0,4,36,9,27
"Beadle County, South Dakota",17372,15908,86,158,709,39,252,220,0,220
"Bennett County, South Dakota",3432,978,24,2305,13,0,0,112,0,112
"Bon Homme County, South Dakota",7041,6344,54,447,21,0,74,101,0,101
"Brookings County, South Dakota",31973,29916,247,295,746,24,176,569,66,503
"Brown County, South Dakota",36562,34240,286,1199,392,6,16,423,0,423
"Brule County, South Dakota",5236,4647,0,480,0,0,7,102,0,102
"Buffalo County, South Dakota",1950,339,9,1539,0,0,0,63,0,63
"Butte County, South Dakota",10122,9651,47,105,45,0,28,246,0,246
"Campbell County, South Dakota",1419,1400,0,15,4,0,0,0,0,0
"Charles Mix County, South Dakota",9127,5934,18,2846,6,0,20,303,20,283
"Clark County, South Dakota",3653,3499,30,25,20,0,32,47,0,47
"Clay County, South Dakota",13966,12665,123,569,245,0,197,167,0,167
"Codington County, South Dakota",27284,26054,85,764,118,0,117,146,13,133
"Corson County, South Dakota",4046,1244,7,2707,8,0,9,71,10,61
"Custer County, South Dakota",8219,7713,26,337,2,0,31,110,0,110
"Davison County, South Dakota",19513,18554,77,411,62,0,20,389,0,389
"Day County, South Dakota",5673,5020,0,549,18,0,4,82,3,79
"Deuel County, South Dakota",4376,4315,28,15,0,0,4,14,2,12
"Dewey County, South Dakota",5358,1156,24,3978,0,0,15,185,0,185
"Douglas County, South Dakota",2992,2897,0,63,0,1,0,31,0,31
"Edmunds County, South Dakota",4050,3974,0,33,13,0,3,27,12,15
"Fall River County, South Dakota",7028,6318,19,382,72,5,8,224,1,223
"Faulk County, South Dakota",2374,2346,0,22,0,0,0,6,0,6
"Grant County, South Dakota",7324,7137,52,41,7,0,64,23,0,23
"Gregory County, South Dakota",4251,3823,6,314,10,0,0,98,0,98
"Haakon County, South Dakota",1852,1804,4,25,7,0,0,12,0,12
"Hamlin County, South Dakota",5875,5730,15,9,0,0,67,54,0,54
"Hand County, South Dakota",3394,3383,0,8,2,0,0,1,0,1
"Hanson County, South Dakota",3366,3305,0,32,5,10,0,14,0,14
"Harding County, South Dakota",1367,1300,3,17,0,0,4,43,5,38
"Hughes County, South Dakota",17064,14478,105,1571,37,8,297,568,105,463
"Hutchinson County, South Dakota",7283,7136,2,93,3,0,0,49,0,49
"Hyde County, South Dakota",1437,1262,0,119,9,0,5,42,0,42
"Jackson County, South Dakota",3067,1564,0,1384,2,0,21,96,0,96
"Jerauld County, South Dakota",2047,1997,0,29,4,0,17,0,0,0
"Jones County, South Dakota",1084,1025,13,43,3,0,0,0,0,0
"Kingsbury County, South Dakota",5159,5049,14,17,27,0,19,33,0,33
"Lake County, South Dakota",11364,10983,70,94,59,0,40,118,0,118
"Lawrence County, South Dakota",24063,22578,69,919,181,0,109,207,54,153
"Lincoln County, South Dakota",45055,43245,289,246,569,0,149,557,24,533
"Lyman County, South Dakota",3752,2174,0,1416,25,0,0,137,0,137
"McCook County, South Dakota",5592,5483,5,31,15,0,14,44,0,44
"McPherson County, South Dakota",2485,2463,1,20,1,0,0,0,0,0
"Marshall County, South Dakota",4631,3950,2,355,0,0,66,258,103,155
"Meade County, South Dakota",25456,23203,208,554,199,25,361,906,73,833
"Mellette County, South Dakota",2057,778,0,1186,0,0,0,93,2,91
"Miner County, South Dakota",2365,2305,1,22,0,0,3,34,0,34
"Minnehaha County, South Dakota",170342,150083,6490,4419,2764,3,3415,3168,349,2819
"Moody County, South Dakota",6474,5251,0,875,58,4,48,238,7,231
"Pennington County, South Dakota",101240,84667,1039,8916,1147,27,672,4772,573,4199
"Perkins County, South Dakota",2890,2814,0,35,0,0,5,36,0,36
"Potter County, South Dakota",2327,2281,0,23,8,0,0,15,0,15
"Roberts County, South Dakota",10158,6194,57,3516,20,0,14,357,36,321
"Sanborn County, South Dakota",2357,2318,0,10,7,0,4,18,0,18
"Shannon County, South Dakota",13683,486,18,13091,2,4,35,47,16,31
"Spink County, South Dakota",6483,6326,9,85,0,0,30,33,0,33
"Stanley County, South Dakota",2940,2575,0,273,0,0,20,72,0,72
"Sully County, South Dakota",1382,1317,0,37,0,0,0,28,0,28
"Todd County, South Dakota",9711,1014,20,8211,68,0,16,382,25,357
"Tripp County, South Dakota",5608,4650,44,667,19,0,13,215,5,210
"Turner County, South Dakota",8344,8105,30,33,1,0,68,107,0,107
"Union County, South Dakota",14377,13642,93,107,106,0,134,295,65,230
"Walworth County, South Dakota",5443,4468,0,847,19,0,0,109,0,109
"Yankton County, South Dakota",22434,20770,408,565,154,1,289,247,60,187
"Ziebach County, South Dakota",2796,659,14,2003,11,0,0,109,0,109
"Anderson County, Tennessee",75039,69536,2900,214,911,0,90,1388,48,1340
"Bedford County, Tennessee",45060,38902,3174,385,348,7,882,1362,245,1117
"Benton County, Tennessee",16420,15755,413,46,53,0,9,144,2,142
"Bledsoe County, Tennessee",12898,12185,539,30,7,0,1,136,2,134
"Blount County, Tennessee",123086,115009,3603,383,985,0,1432,1674,173,1501
"Bradley County, Tennessee",99229,91387,4155,149,855,330,916,1437,131,1306
"Campbell County, Tennessee",40629,39715,200,73,130,0,127,384,9,375
"Cannon County, Tennessee",13797,13232,200,24,52,0,141,148,0,148
"Carroll County, Tennessee",28486,24845,2908,68,21,2,124,518,17,501
"Carter County, Tennessee",57531,55411,732,105,94,0,239,950,92,858
"Cheatham County, Tennessee",39103,37509,597,96,213,0,246,442,14,428
"Chester County, Tennessee",17043,14981,1769,55,62,15,47,114,9,105
"Claiborne County, Tennessee",32025,31086,282,50,214,0,4,389,66,323
"Clay County, Tennessee",7842,7553,213,0,0,0,39,37,37,0
"Cocke County, Tennessee",35631,33686,620,44,116,0,473,692,54,638
"Coffee County, Tennessee",52853,48433,1400,94,533,51,832,1510,147,1363
"Crockett County, Tennessee",14567,11797,1995,9,26,0,560,180,72,108
"Cumberland County, Tennessee",56144,54501,138,148,201,0,210,946,186,760
"Davidson County, Tennessee",629113,396049,174582,1393,19586,270,24074,13159,1592,11567
"Decatur County, Tennessee",11732,11065,301,3,35,4,151,173,35,138
"DeKalb County, Tennessee",18770,17822,301,11,43,0,449,144,7,137
"Dickson County, Tennessee",49704,45972,2099,47,250,0,459,877,47,830
"Dyer County, Tennessee",38234,31226,5605,12,109,8,440,834,258,576
"Fayette County, Tennessee",38370,26442,10864,42,247,2,422,351,7,344
"Fentress County, Tennessee",17945,17586,39,67,23,0,0,230,9,221
"Franklin County, Tennessee",40972,37098,1970,17,189,0,675,1023,0,1023
"Gibson County, Tennessee",49594,39015,9286,142,110,14,308,719,161,558
"Giles County, Tennessee",29439,25460,3195,18,153,11,190,412,9,403
"Grainger County, Tennessee",22613,21910,115,2,1,0,264,321,49,272
"Greene County, Tennessee",68755,65771,1561,95,272,20,362,674,95,579
"Grundy County, Tennessee",13751,11422,95,86,51,0,41,2056,6,2050
"Hamblen County, Tennessee",62528,57361,2638,122,435,59,1026,887,79,808
"Hamilton County, Tennessee",337023,251934,68448,681,6267,62,4717,4914,621,4293
"Hancock County, Tennessee",6759,6620,20,8,17,0,0,94,0,94
"Hardeman County, Tennessee",27193,15323,11235,92,182,0,71,290,59,231
"Hardin County, Tennessee",25987,24456,910,79,99,0,52,391,27,364
"Hawkins County, Tennessee",56725,54790,773,300,273,0,240,349,0,349
"Haywood County, Tennessee",18673,8775,9188,34,64,0,230,382,10,372
"Henderson County, Tennessee",27835,24865,2257,13,26,8,172,494,65,429
"Henry County, Tennessee",32271,28919,2608,35,31,0,38,640,10,630
"Hickman County, Tennessee",24481,22712,1280,29,20,0,99,341,0,341
"Houston County, Tennessee",8375,7957,162,5,10,0,15,226,24,202
"Humphreys County, Tennessee",18428,17545,541,120,12,0,77,133,6,127
"Jackson County, Tennessee",11526,11236,37,0,7,0,84,162,3,159
"Jefferson County, Tennessee",51541,49049,1354,122,10,0,182,824,198,626
"Johnson County, Tennessee",18199,17518,501,54,17,0,34,75,0,75
"Knox County, Tennessee",433207,374285,39457,815,8074,114,2892,7570,1030,6540
"Lake County, Tennessee",7780,5399,2052,30,13,0,112,174,29,145
"Lauderdale County, Tennessee",27772,17358,9788,111,79,9,129,298,97,201
"Lawrence County, Tennessee",41779,39932,710,127,166,0,262,582,114,468
"Lewis County, Tennessee",12050,11439,263,56,10,0,176,106,6,100
"Lincoln County, Tennessee",33295,29754,1609,170,9,7,365,1381,64,1317
"Loudon County, Tennessee",48586,46326,537,71,351,17,617,667,35,632
"McMinn County, Tennessee",52325,48638,2167,75,306,0,164,975,14,961
"McNairy County, Tennessee",26001,23906,1462,61,56,0,111,405,26,379
"Macon County, Tennessee",22265,21328,89,44,130,0,420,254,136,118
"Madison County, Tennessee",97976,59127,35520,182,1075,61,659,1352,194,1158
"Marion County, Tennessee",28184,26474,396,21,99,0,85,1109,25,1084
"Marshall County, Tennessee",30585,27297,1746,36,27,0,586,893,0,893
"Maury County, Tennessee",80965,68072,10051,201,487,12,683,1459,124,1335
"Meigs County, Tennessee",11696,11199,195,0,0,0,0,302,33,269
"Monroe County, Tennessee",44680,42568,845,211,132,3,113,808,0,808
"Montgomery County, Tennessee",173138,125335,33312,1096,3652,727,2534,6482,699,5783
"Moore County, Tennessee",6349,5956,148,26,5,0,85,129,11,118
"Morgan County, Tennessee",21882,20689,698,48,64,0,6,377,0,377
"Obion County, Tennessee",31721,27732,3346,48,56,0,153,386,29,357
"Overton County, Tennessee",22040,21596,150,18,26,0,0,250,12,238
"Perry County, Tennessee",7856,7487,295,0,0,0,0,74,0,74
"Pickett County, Tennessee",5108,5049,23,0,0,0,0,36,9,27
"Polk County, Tennessee",16756,16351,30,59,0,0,42,274,20,254
"Putnam County, Tennessee",72172,67900,1678,98,819,0,676,1001,83,918
"Rhea County, Tennessee",31817,30183,817,58,22,0,318,419,25,394
"Roane County, Tennessee",54027,51094,1441,113,184,29,95,1071,59,1012
"Robertson County, Tennessee",66143,58726,5017,274,158,66,1010,892,258,634
"Rutherford County, Tennessee",263815,212818,33361,785,8122,65,3292,5372,491,4881
"Scott County, Tennessee",22196,21953,21,87,33,0,0,102,0,102
"Sequatchie County, Tennessee",14173,12971,31,189,0,14,193,775,0,775
"Sevier County, Tennessee",90218,86458,622,259,929,13,801,1136,0,1136
"Shelby County, Tennessee",929437,384952,482411,2095,21889,235,22458,15397,1539,13858
"Smith County, Tennessee",19157,18092,523,75,97,0,120,250,1,249
"Stewart County, Tennessee",13262,12445,224,169,155,0,154,115,45,70
"Sullivan County, Tennessee",156675,149059,2697,612,930,35,1034,2308,105,2203
"Sumner County, Tennessee",161206,144552,10969,630,1891,25,1334,1805,188,1617
"Tipton County, Tennessee",61038,47769,11110,241,406,282,285,945,30,915
"Trousdale County, Tennessee",7827,6760,773,21,174,0,0,99,0,99
"Unicoi County, Tennessee",18287,17755,193,50,0,0,193,96,45,51
"Union County, Tennessee",19179,19043,11,6,11,26,15,67,23,44
"Van Buren County, Tennessee",5552,5389,40,0,20,0,0,103,36,67
"Warren County, Tennessee",39767,36877,1137,74,238,0,887,554,66,488
"Washington County, Tennessee",122840,113826,4743,348,1474,26,341,2082,150,1932
"Wayne County, Tennessee",17015,15759,990,27,6,0,119,114,0,114
"Weakley County, Tennessee",34802,30867,2827,110,464,10,139,385,33,352
"White County, Tennessee",25863,24752,465,59,8,0,70,509,98,411
"Williamson County, Tennessee",184225,165902,7982,166,5361,40,1878,2896,493,2403
"Wilson County, Tennessee",114618,102357,7719,337,1232,86,1422,1465,220,1245
"Anderson County, Texas",58269,43169,12451,404,344,59,1070,772,169,603
"Andrews County, Texas",15006,13012,203,515,246,0,808,222,140,82
"Angelina County, Texas",86550,68280,13496,467,413,0,2543,1351,408,943
"Aransas County, Texas",23391,21591,207,69,307,0,284,933,179,754
"Archer County, Texas",8944,8596,58,60,46,0,104,80,17,63
"Armstrong County, Texas",1820,1717,19,11,0,1,42,30,11,19
"Atascosa County, Texas",45091,36395,290,273,104,0,6483,1546,738,808
"Austin County, Texas",28372,24187,2757,13,18,0,934,463,58,405
"Bailey County, Texas",7096,6417,129,2,12,0,536,0,0,0
"Bandera County, Texas",20477,19233,138,163,72,0,509,362,44,318
"Bastrop County, Texas",74023,61425,5998,725,561,0,4026,1288,365,923
"Baylor County, Texas",3706,3520,59,29,0,0,84,14,0,14
"Bee County, Texas",32083,21767,2881,42,130,0,6617,646,493,153
"Bell County, Texas",310155,206376,65994,1918,8840,2274,10195,14558,1793,12765
"Bexar County, Texas",1719902,1293143,124773,12953,40684,2365,195362,50622,16722,33900
"Blanco County, Texas",10425,9730,93,249,12,0,229,112,22,90
"Borden County, Texas",642,632,0,6,0,0,0,4,0,4
"Bosque County, Texas",18114,17092,261,99,50,0,302,310,38,272
"Bowie County, Texas",92460,64891,21751,748,673,154,1911,2332,153,2179
"Brazoria County, Texas",313813,235273,38393,1520,17043,44,15565,5975,1774,4201
"Brazos County, Texas",194087,146571,21489,713,10168,71,10835,4240,1039,3201
"Brewster County, Texas",9175,8311,117,106,118,9,414,100,24,76
"Briscoe County, Texas",1674,1539,17,1,9,2,11,95,2,93
"Brooks County, Texas",7236,6092,6,0,103,0,1027,8,6,2
"Brown County, Texas",38018,34461,1524,247,118,6,793,869,173,696
"Burleson County, Texas",17160,13635,1970,0,217,0,1073,265,70,195
"Burnet County, Texas",42946,40411,878,244,162,24,732,495,134,361
"Caldwell County, Texas",38152,26476,2776,254,61,4,7443,1138,661,477
"Calhoun County, Texas",21366,19081,577,21,479,0,235,973,147,826
"Callahan County, Texas",13521,12726,144,6,86,11,123,425,54,371
"Cameron County, Texas",405819,367713,2258,611,2746,11,28765,3715,2511,1204
"Camp County, Texas",12389,9631,2269,30,41,0,235,183,26,157
"Carson County, Texas",6215,5884,52,50,15,6,133,75,7,68
"Cass County, Texas",30324,24177,5216,182,128,22,196,403,28,375
"Castro County, Texas",7984,6632,204,43,27,5,380,693,150,543
"Chambers County, Texas",34562,28876,2770,169,357,28,1413,949,122,827
"Cherokee County, Texas",50690,41115,7855,137,172,0,749,662,101,561
"Childress County, Texas",7047,5774,856,0,27,0,325,65,59,6
"Clay County, Texas",10718,10280,80,145,19,0,18,176,48,128
"Cochran County, Texas",3087,2404,136,75,2,0,402,68,47,21
"Coke County, Texas",3298,3140,44,17,0,0,68,29,0,29
"Coleman County, Texas",8817,8242,187,27,0,0,186,175,32,143
"Collin County, Texas",788580,587645,65972,4022,89813,522,18894,21712,4423,17289
"Collingsworth County, Texas",3050,2649,125,29,15,0,150,82,0,82
"Colorado County, Texas",20784,16742,2825,108,90,13,850,156,105,51
"Comal County, Texas",108985,99609,1826,799,774,13,3063,2901,781,2120
"Comanche County, Texas",13875,12960,81,8,88,0,550,188,52,136
"Concho County, Texas",4073,3687,30,8,15,0,298,35,16,19
"Cooke County, Texas",38427,34329,1101,401,255,9,1434,898,201,697
"Coryell County, Texas",75728,55222,12498,310,1656,629,2216,3197,308,2889
"Cottle County, Texas",1600,1255,217,8,2,0,40,78,0,78
"Crane County, Texas",4359,3285,123,59,0,0,835,57,13,44
"Crockett County, Texas",3669,3346,0,0,1,0,260,62,41,21
"Crosby County, Texas",6100,5423,209,6,2,10,292,158,73,85
"Culberson County, Texas",2386,2240,13,24,0,4,53,52,5,47
"Dallam County, Texas",6734,5492,75,100,49,0,812,206,93,113
"Dallas County, Texas",2379214,1366988,522637,10067,122340,1381,298469,57332,17317,40015
"Dawson County, Texas",13761,11450,915,119,11,0,990,276,88,188
"Deaf Smith County, Texas",19275,16982,85,191,55,0,1394,568,397,171
"Delta County, Texas",5240,4594,428,82,14,0,32,90,8,82
"Denton County, Texas",667934,517920,55003,2606,44142,476,20806,26981,4642,22339
"DeWitt County, Texas",20156,13779,1920,32,91,13,3855,466,230,236
"Dickens County, Texas",2399,2082,131,5,1,0,171,9,2,7
"Dimmit County, Texas",10054,9374,57,11,10,0,508,94,94,0
"Donley County, Texas",3652,3400,175,11,28,24,11,3,0,3
"Duval County, Texas",11821,10752,164,78,6,13,767,41,9,32
"Eastland County, Texas",18519,17031,368,29,15,39,715,322,108,214
"Ector County, Texas",138193,117399,5928,1003,1009,25,8615,4214,1070,3144
"Edwards County, Texas",2023,1943,5,0,0,0,75,0,0,0
"Ellis County, Texas",149712,123150,13233,2198,955,15,7198,2963,601,2362
"El Paso County, Texas",801115,643658,25217,4482,8471,875,99848,18564,8976,9588
"Erath County, Texas",38192,33456,416,283,201,0,3301,535,153,382
"Falls County, Texas",17756,12351,4386,54,185,0,509,271,83,188
"Fannin County, Texas",33867,29744,2295,264,145,16,669,734,105,629
"Fayette County, Texas",24557,22146,1771,2,22,4,437,175,9,166
"Fisher County, Texas",3963,3269,179,34,1,0,391,89,28,61
"Floyd County, Texas",6439,5728,150,7,0,0,340,214,55,159
"Foard County, Texas",1273,1171,10,0,7,0,85,0,0,0
"Fort Bend County, Texas",587666,317324,125758,1488,101219,37,27915,13925,4368,9557
"Franklin County, Texas",10593,9763,503,158,25,0,37,107,0,107
"Freestone County, Texas",19631,15053,3251,197,42,0,903,185,18,167
"Frio County, Texas",17265,15002,562,10,33,0,1519,139,81,58
"Gaines County, Texas",17572,15761,190,248,43,53,863,414,122,292
"Galveston County, Texas",292874,229774,40685,1262,8879,98,6506,5670,1078,4592
"Garza County, Texas",6295,5364,342,40,0,16,317,216,100,116
"Gillespie County, Texas",24777,23863,81,70,47,27,372,317,27,290
"Glasscock County, Texas",1255,1181,33,0,0,0,17,24,0,24
"Goliad County, Texas",7223,5440,301,7,9,49,1169,248,45,203
"Gonzales County, Texas",19773,11786,1478,24,21,0,6142,322,208,114
"Gray County, Texas",22731,19880,1095,156,102,0,986,512,110,402
"Grayson County, Texas",120641,102182,6914,1571,1002,56,5464,3452,763,2689
"Gregg County, Texas",121451,88247,24389,643,1523,247,4825,1577,366,1211
"Grimes County, Texas",26564,19101,4425,94,171,6,2161,606,166,440
"Guadalupe County, Texas",131945,111231,8256,437,2092,114,5902,3913,779,3134
"Hale County, Texas",36153,30074,1660,235,155,0,2235,1794,524,1270
"Hall County, Texas",3337,2899,191,0,14,14,173,46,0,46
"Hamilton County, Texas",8448,8341,39,0,5,3,9,51,0,51
"Hansford County, Texas",5556,4918,9,48,15,16,485,65,18,47
"Hardeman County, Texas",4124,3404,350,8,42,0,155,165,128,37
"Hardin County, Texas",54497,49554,3212,189,321,0,726,495,41,454
"Harris County, Texas",4101752,2563910,775085,18103,257467,2581,410493,74113,23097,51016
"Harrison County, Texas",65958,48546,14956,86,389,0,1182,799,170,629
"Hartley County, Texas",6015,5114,433,14,6,0,365,83,11,72
"Haskell County, Texas",5891,4745,255,10,9,0,716,156,96,60
"Hays County, Texas",158464,125452,5297,805,2129,56,21361,3364,662,2702
"Hemphill County, Texas",3863,3400,5,15,0,0,378,65,52,13
"Henderson County, Texas",78558,70347,5007,461,395,33,1289,1026,135,891
"Hidalgo County, Texas",774820,667330,3883,2658,7873,3,87013,6060,3731,2329
"Hill County, Texas",35079,30931,2387,498,143,0,620,500,219,281
"Hockley County, Texas",22988,18860,644,61,70,13,2655,685,313,372
"Hood County, Texas",51161,46753,291,384,248,0,2919,566,121,445
"Hopkins County, Texas",35088,30506,2775,233,215,10,1043,306,43,263
"Houston County, Texas",23512,15662,6222,14,83,0,1281,250,5,245
"Howard County, Texas",34927,25633,1918,330,287,122,5099,1538,875,663
"Hudspeth County, Texas",3407,3123,64,0,20,0,194,6,6,0
"Hunt County, Texas",85955,69784,7543,555,963,40,5776,1294,193,1101
"Hutchinson County, Texas",21992,19419,644,215,84,16,1020,594,105,489
"Irion County, Texas",1596,1459,50,0,9,0,60,18,0,18
"Jack County, Texas",9027,8363,407,31,27,0,165,34,18,16
"Jackson County, Texas",14075,11559,1148,41,0,4,1045,278,145,133
"Jasper County, Texas",35703,28464,5912,207,234,32,463,391,16,375
"Jeff Davis County, Texas",2319,2084,3,43,2,2,171,14,0,14
"Jefferson County, Texas",251627,139181,84325,875,8621,124,13777,4724,1046,3678
"Jim Hogg County, Texas",5257,4851,78,76,0,0,143,109,97,12
"Jim Wells County, Texas",41014,37212,214,131,131,0,2742,584,316,268
"Johnson County, Texas",151174,139581,3918,769,1087,312,2694,2813,485,2328
"Jones County, Texas",20137,15630,2885,92,112,0,1133,285,66,219
"Karnes County, Texas",14936,9405,1361,106,66,61,3664,273,226,47
"Kaufman County, Texas",103385,86514,10001,465,680,188,2590,2947,431,2516
"Kendall County, Texas",33745,31885,155,16,349,0,909,431,43,388
"Kenedy County, Texas",451,438,12,0,0,0,1,0,0,0
"Kent County, Texas",829,815,0,0,0,0,11,3,0,3
"Kerr County, Texas",49469,45626,870,217,482,50,1309,915,130,785
"Kimble County, Texas",4577,4411,20,4,21,0,107,14,9,5
"King County, Texas",227,207,0,0,0,0,20,0,0,0
"Kinney County, Texas",3574,3419,65,35,34,0,7,14,0,14
"Kleberg County, Texas",31925,27414,1242,132,735,19,1955,428,80,348
"Knox County, Texas",3713,3111,265,9,0,1,312,15,1,14
"Lamar County, Texas",49740,40350,6544,436,370,105,649,1286,30,1256
"Lamb County, Texas",13996,12528,572,58,28,0,590,220,57,163
"Lampasas County, Texas",19837,17582,940,248,137,25,490,415,82,333
"La Salle County, Texas",6850,6007,77,108,32,0,569,57,27,30
"Lavaca County, Texas",19269,15678,1434,6,20,0,1980,151,91,60
"Lee County, Texas",16591,13974,1879,34,0,0,460,244,1,243
"Leon County, Texas",16827,14003,1262,72,25,0,1286,179,22,157
"Liberty County, Texas",75662,60191,8526,297,352,26,4960,1310,557,753
"Limestone County, Texas",23350,18148,4107,55,105,17,601,317,22,295
"Lipscomb County, Texas",3324,2751,21,72,43,4,372,61,27,34
"Live Oak County, Texas",11526,10253,551,101,99,0,353,169,83,86
"Llano County, Texas",19115,18323,157,40,14,0,305,276,4,272
"Loving County, Texas",85,43,0,9,0,0,29,4,0,4
"Lubbock County, Texas",278339,222418,19707,1125,5603,469,20383,8634,3339,5295
"Lynn County, Texas",5886,5509,99,86,14,3,120,55,16,39
"McCulloch County, Texas",8281,7519,89,270,38,0,248,117,0,117
"McLennan County, Texas",234626,181949,34584,1129,3345,46,9191,4382,1137,3245
"McMullen County, Texas",696,669,0,6,0,0,0,21,0,21
"Madison County, Texas",13590,10098,2862,28,39,0,491,72,18,54
"Marion County, Texas",10544,7830,2538,12,69,0,31,64,4,60
"Martin County, Texas",4804,4153,120,47,0,0,477,7,0,7
"Mason County, Texas",3978,3932,0,12,0,0,21,13,13,0
"Matagorda County, Texas",36653,29836,4011,123,726,79,1077,801,146,655
"Maverick County, Texas",54107,48983,90,756,83,0,3369,826,443,383
"Medina County, Texas",46009,41052,1267,219,258,0,2339,874,282,592
"Menard County, Texas",2232,2108,25,9,0,0,18,72,0,72
"Midland County, Texas",138472,117967,9249,753,1944,5,6165,2389,804,1585
"Milam County, Texas",24691,20704,2291,258,56,0,864,518,40,478
"Mills County, Texas",4880,4755,28,0,0,0,87,10,0,10
"Mitchell County, Texas",9367,7136,956,37,53,0,845,340,160,180
"Montague County, Texas",19737,18797,24,51,81,0,376,408,82,326
"Montgomery County, Texas",458339,402030,18758,1671,9975,272,14954,10679,1766,8913
"Moore County, Texas",21765,16392,360,140,1396,6,2843,628,258,370
"Morris County, Texas",12914,9093,2972,23,6,0,514,306,18,288
"Motley County, Texas",1153,1100,24,7,1,0,21,0,0,0
"Nacogdoches County, Texas",64647,49059,12079,335,856,0,1599,719,227,492
"Navarro County, Texas",47739,36365,7041,1178,288,0,2005,862,179,683
"Newton County, Texas",14372,10950,2950,28,162,95,166,21,0,21
"Nolan County, Texas",15104,12627,604,85,15,0,1171,602,275,327
"Nueces County, Texas",340568,293320,13809,1113,5519,277,19687,6843,2076,4767
"Ochiltree County, Texas",10314,7969,68,106,35,0,1749,387,220,167
"Oldham County, Texas",2048,1866,20,12,12,4,46,88,0,88
"Orange County, Texas",82306,71910,7256,475,946,19,982,718,186,532
"Palo Pinto County, Texas",28010,24698,693,205,106,0,1758,550,107,443
"Panola County, Texas",23814,18353,4046,91,22,0,833,469,180,289
"Parker County, Texas",116820,109442,2056,1022,703,8,1874,1715,448,1267
"Parmer County, Texas",10172,9280,93,60,0,9,570,160,81,79
"Pecos County, Texas",15510,13712,854,24,74,0,676,170,72,98
"Polk County, Texas",45618,37728,5184,565,237,0,1029,875,97,778
"Potter County, Texas",121099,94439,12213,1059,4679,71,4875,3763,1407,2356
"Presidio County, Texas",7678,7109,40,317,1,0,148,63,31,32
"Rains County, Texas",10976,9860,292,64,41,0,591,128,5,123
"Randall County, Texas",121090,109363,2752,675,1816,34,3485,2965,751,2214
"Reagan County, Texas",3384,3007,114,0,0,0,251,12,4,8
"Real County, Texas",3326,3252,2,0,6,0,27,39,0,39
"Red River County, Texas",12795,10059,2205,154,11,19,159,188,87,101
"Reeves County, Texas",13606,11816,548,274,48,0,695,225,203,22
"Refugio County, Texas",7352,6423,416,10,49,0,124,330,15,315
"Roberts County, Texas",992,975,0,1,10,0,0,6,0,6
"Robertson County, Texas",16596,12107,3616,47,109,0,564,153,16,137
"Rockwall County, Texas",78749,67839,4008,524,1841,404,2265,1868,439,1429
"Runnels County, Texas",10473,9680,214,32,31,0,334,182,117,65
"Rusk County, Texas",53211,42018,9488,192,257,6,630,620,83,537
"Sabine County, Texas",10642,9630,946,0,0,0,21,45,0,45
"San Augustine County, Texas",8898,6427,2271,40,38,0,67,55,0,55
"San Jacinto County, Texas",26482,22734,2866,26,171,0,327,358,69,289
"San Patricio County, Texas",65352,59426,1332,362,600,3,2709,920,269,651
"San Saba County, Texas",6037,5391,134,7,15,0,351,139,21,118
"Schleicher County, Texas",3327,2903,12,37,6,0,323,46,24,22
"Scurry County, Texas",16855,13380,754,100,47,0,2256,318,170,148
"Shackelford County, Texas",3346,3014,46,11,0,0,251,24,0,24
"Shelby County, Texas",25602,20022,4580,14,118,0,639,229,0,229
"Sherman County, Texas",3040,2601,5,4,6,0,353,71,26,45
"Smith County, Texas",209691,159100,38047,846,2581,348,5735,3034,542,2492
