Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Grant County, Arkansas",17852,17058,364,43,91,0,108,188,1,187
"Greene County, Arkansas",42224,40966,279,170,32,0,195,582,33,549
"Hempstead County, Arkansas",22548,14623,6811,40,5,0,651,418,97,321
"Hot Spring County, Arkansas",33011,28582,3602,120,24,0,76,607,8,599
"Howard County, Arkansas",13790,9609,2943,152,42,0,989,55,6,49
"Independence County, Arkansas",36572,34681,996,237,34,18,176,430,17,413
"Izard County, Arkansas",13614,13053,163,24,27,49,17,281,23,258
"Jackson County, Arkansas",17885,14355,2945,77,40,6,113,349,5,344
"Jefferson County, Arkansas",76836,32332,42307,101,638,75,472,911,149,762
"Johnson County, Arkansas",25554,24127,413,174,74,79,175,512,78,434
"Lafayette County, Arkansas",7618,4683,2846,11,0,6,0,72,4,68
"Lawrence County, Arkansas",17314,16894,114,32,0,0,9,265,2,263
"Lee County, Arkansas",10430,4408,5888,34,0,0,94,6,0,6
"Lincoln County, Arkansas",14167,9410,4182,27,0,0,290,258,7,251
"Little River County, Arkansas",13068,9722,2863,70,0,0,106,307,7,300
"Logan County, Arkansas",22352,20969,308,234,407,0,111,323,23,300
"Lonoke County, Arkansas",68274,61297,4248,478,451,0,672,1128,259,869
"Madison County, Arkansas",15674,14975,27,80,81,0,158,353,16,337
"Marion County, Arkansas",16712,16183,39,72,51,0,79,288,12,276
"Miller County, Arkansas",43449,31577,10581,158,264,0,163,706,29,677
"Mississippi County, Arkansas",46388,29435,15855,78,170,9,156,685,0,685
"Monroe County, Arkansas",8145,4612,3422,30,2,0,52,27,0,27
"Montgomery County, Arkansas",9453,8996,47,129,1,0,107,173,0,173
"Nevada County, Arkansas",9003,6034,2857,33,0,0,0,79,0,79
"Newton County, Arkansas",8286,7862,38,64,0,0,29,293,23,270
"Ouachita County, Arkansas",25894,14835,10423,61,24,0,37,514,3,511
"Perry County, Arkansas",10413,9893,237,58,0,0,49,176,0,176
"Phillips County, Arkansas",21646,7776,13587,16,18,0,40,209,5,204
"Pike County, Arkansas",11261,10126,397,96,14,0,517,111,11,100
"Poinsett County, Arkansas",24506,22270,1782,49,15,0,68,322,26,296
"Polk County, Arkansas",20535,19127,19,364,23,7,468,527,11,516
"Pope County, Arkansas",61853,55942,2098,505,435,0,1559,1314,93,1221
"Prairie County, Arkansas",8659,7455,1119,0,11,0,16,58,0,58
"Pulaski County, Arkansas",383185,227501,134065,1116,7877,90,5597,6939,347,6592
"Randolph County, Arkansas",17992,17475,54,30,76,1,45,311,0,311
"St. Francis County, Arkansas",28089,12627,14580,62,55,12,351,402,19,383
"Saline County, Arkansas",107498,98384,5011,602,982,24,1048,1447,160,1287
"Scott County, Arkansas",11170,10037,22,158,449,0,208,296,0,296
"Searcy County, Arkansas",8146,7858,26,69,19,0,0,174,3,171
"Sebastian County, Arkansas",125795,104479,7356,1144,5161,117,1670,5868,452,5416
"Sevier County, Arkansas",16978,11668,749,320,77,0,3851,313,14,299
"Sharp County, Arkansas",17278,16633,50,115,46,35,23,376,59,317
"Stone County, Arkansas",12480,12119,9,17,109,0,29,197,0,197
"Union County, Arkansas",41594,26841,13703,128,225,0,108,589,77,512
"Van Buren County, Arkansas",17223,16554,173,163,11,0,117,205,0,205
